Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,
,8-14-14,8-18-14,8-21-14,8-25-14,9-4-14,9-8-14,9-12-14,9-15-14,9-18-14,9-23-14,9-25-14,10-2-14,10-7-14,10-9-14,10-14-14,10-16-14,10-21-14,10-23-14,10-28-14,10-30-14,11-4-14,11-5-14,11-6-14,11-11-14,11-13-14,TOTALS
Observer,Keith,Keith,Keith,Keith,Keith,Keith,Keith,Keith,Keith,KO,KO/SB,KO/SB?Nick,Seth,Seth,Seth, Seth,Seth,Seth,Seth,Seth,Seth,Seth,Seth,Seth,Seth,
Wind,ENE 20-30,Var 1-10,Var 1-3,Calm 1-3,N 1-3,No Wind,Var 1-3,NW 1-3,S 10-12,W 4-6,S 4-7,NW 4-8,SSW 3-5,W 5-10,WSW 3-7,Heavy Fog,NNE 2-5,NE 15-25/Storm,NNW 3-7 Mostly cloudy,WSW 3-7 Partly clay.,Var. Light Sunny,SW 10-15 Overcast,Lt. WNW Partly Cloudy,WSW 4-7 Sunny,WNW 1-3 Sunny,
Time,6:30-8:30,6:30-8:30,6:30-8:30,6:30-8:30,6:40-8:40,6:30-8:30,6:35-8:35,6:35 - 8:35 AM,6:30-8:30,9:30-10:30,6:30-8:30,6:45-9:05,6:45-8:45,6:35-8:45,6:45-9:00,6:45-7:15,6:45 -9:00,7:00- 7:45,6:45-9:00,6:45-8:45,7:15-9 :00,6:35-8:45,6:30-8:40,6:25-9:00,6:30-8:45,
Temp.,61 F,60 F,60 F,59 F,60 F,55 F,53 F,41 F,52 F,53 F,?,50 F,52 F,50 F,54 F,60 F,54 F,51 F,42 F,43 F,34 F,53 F,41-52 F,41-56 F,,
Visitors,0,0,2,0,2,3,0,0,5,0,3,1,2,3,3,1,2,0,2,0,0,0,1,3,,33
RTLO,,,,,,,,,,,,,,,3,,1,,,9,1,8,4,,,26
COLO,,,2,,4,8,2,2,12,2,27,32,4,5,40,,57,,12,69,30,19,44,47,16,434
RNGR,,,,,,,,,,,,,,,,,,,,,,,1,,,1
NOGA,,,,5,,4,,3,1,3,7,2,3,15,4,,22,,12,50,8,24,2,3,,168
GRCO,,,,,,,,,,,,,,,,,,,,,,,,,1,1
DCCO,1,78,180,42,69,113,10,27,20,11,220,265,11,35,150,,1668,,84,207,73,7,71,5,7,3354
COGE,,,,,,,,,,,,,,,,,,,,,,,,,3,3
COEI,,,,,,,,,,,,260,22,50,766,,151,,115,65,99,65,539,134,13,2279
LTDU,,,,,,,,,,,,1,,,1,,6,,,7,11,48,2,31,2,109
BLSC,,,39,,,6,,,,,51,,,,14,,,,,1,8,15,34,79,1,248
SUSC,,,,,,,,,,,,236,,,49,,14,,4,3,,542,11,34,,893
WWSC,,,,1,,2,,,,,,39,,,65,,3,,9,1,4,69,7,,,200
Scoter sp.,,,,,,,,,,,,,,,,,41,,4,,,74,1,5,,125
BUFF,,,,,,,,,,,,,,,,,,,,,,,1,,,1
RBME,,,,,,,,,,,,3,,,13,,18,,4,8,30,137,3,4,1,221
LAGU,,,,,,,,,,,,,,4,1,,,,,,,,,,,5
RBGU,,,,,,,,,,,,,8,5,14,,,,3,4,10,,,8,,52
BLKI,,,,,,,,,1,,,,1,,,,,,,4,,,,,,6
BLGU,,4,,,,,,,,,,,,,5,,2,,6,2,4,4,,,,27
Caspian Tern,,,,,2,,,,5,,,,,,,,,,,,,,,,,7
SSHA,,,1,,,2,,1,,,,,,,,,,,,,,,,,,4
Monarch,,,,,12,3,,7,2,3,,,,,,,,,,,,,,,,27
RUTU,,,,,,,,,2,,,,,,,,,,,,,,,,,2
Merlin,,,1,,,,,,,,,1,,2,,,2,,,,,,,,,6
GBH,,,2,,,,,,,,,6,,,1,,,,,,,,,,,9
Peeps,,,9,3,,,,,,,,,,,,,,,,,,,,,,12
PEFA,,,,1,,1,1,,,,,,,,,,,,1,,,,2,1,,7
PAJA,,,,,,1,,,,,,,,,,,,,,,,,,,,1
Whimbrel,,,,,,4,,,,,,,,,,,,,,,,,,,,4
UNID,,,,,,,,,,,,65,,,,,,,,45,,9,,7,,126
BLDU,,,,,,,,,,,,7,,,,,,,,,,47,,11,,65
BAEA,,,,,,,,,,,,1,,,,,,,,,,,,,,1*
PISI,,,,,,,,,,,,,,69,4,,H,,1,10,,,120,,25,229*
YRWA,,,,,,,,,,,,,,4,5,,,,,5,,,,,,14*
Swamp Sp.,,,,,,,,,,,,,,,1,,,,,,,,,,,1*
N. Pintail,,,,,,,,,,,,,,,6,,,,,,,,,,,6
Bonaparte’s Gull,,,,,,,,,,,,,,,,,5,,,,,,,,,5
BOWA,,,,,,,,,,,,,,,,,3,,,,,,,,,3*
Yellow-br. Chat,,,,,,,,,,,,,,,,,1,,,,,,,,,1*
Co. Grackle,,,,,,,,,,,,,,,,,23,,18,2,,,,,,43*
B. Oriole,,,,,,,,,,,,,,,,,,,1,,,,,,,1*
Snow Bunting,,,,,,,,,,,,,,,,,,,,1,,,,,2,3*
Harlequin,,,,,,,,,,,,,,,,,,,,2* (non-migrants,,5,,,,5
L. Scaup,,,,,,,,,,,,,,,,,,,,,,4,,,,4
Tree Sparrow,,,,,,,,,,,,,,,,,,,,,,,2,,,2*
Am. Crow,,,,,,,,,,,,,,,,,,,,,,,,,19,19*
,,,,,,,,,,,,,,,,,,,,,,,,,,8384
