Date,Species Totals,9/10/15,9/15/15,9/22/15,9/24/15,10/1/15,10/7/15,10/15/15,10/20/15,10/22/15,10/23/15,10/28/15,11/3/15,11/4/15,11/5/15,11/17/15,11/18/15,11/19/15
Minutes of Observation,,140,120,105,130,120,60,120,120,120,145,110,204,120,266,120,135,130
Time(s) of Observation,,6:10-8:30 AM,6:30-8:30 AM,6:15-8:00 AM,6:20-9:00,6:30-8:30,6:45-7:45,6:45-8:45,6:45-8:45,6:55-8:55,6:35-9:00,7:00-8:50,6:11-8:40; 4:00-4:35,6:14-8:14,6:14-9:30; 11:50-1:00,6:48-8:48,6:45-9:00,6:50-9:00
principle.observer,,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB
CANG,0,,,,,,,,,,,,,,,,,
MALL,2,,,,,1,,,,,,,,,1,,,
ABDU,50,,,,3,,,,2,2,,,,,43,,,
GRSC,4,,,,,,,,4,,,,,,,,,
LESC,3,,,,,,,,,,3,,,,,,,
COEI,3004,25,,18,30,,165,330,25,497,113,149,818,44,603,12,89,86
HADU,1,,,,,,,,,,,,,,1,,,
SUSC,518,4,5,80,13,45,9,4,138,190,2,,3,,25,,,
WWSC,145,,2,2,,24,,4,44,10,3,,11,3,14,8,8,12
BLSC,409,,,1,,,,2,213,91,16,20,12,2,24,11,14,3
SUSC/BLSC,783,,,3,7,35,,2,261,191,61,48,29,9,137,,,
Scoter Sp.,17,,,,,,,,,,,,,1,,,8,8
LTDU,295,,,,,,,2,12,11,3,17,14,11,194,6,4,21
HOME,2,,,,,,,,,,,,,,2,,,
RBME,345,,,2,,1,,2,4,69,8,13,2,3,238,1,1,1
COGO,2,,,,,,,,,,,,,,2,,,
Duck sp.,21,,,,,,,,,,21,,,,,,,
RTLO,117,,,,,,,1,15,4,3,4,7,15,51,3,3,11
COLO,279,8,3,21,12,18,8,11,54,18,11,21,36,11,31,3,4,9
Loon sp.,,,,,,,,,,,,,,,,,,
HOGR,,,,,,,,,,,,,,,,,,
RNGR,12,,,,,,,1,1,1,,2,1,,3,,1,2
NOGA,434,81,35,13,1,,8,5,61,52,37,35,44,15,32,1,4,10
DCCO,3537,111,50,66,139,6,14,178,33,31,819,130,1582,93,278,3,2,2
GRCO,20,,,1,,,2,,1,1,,,3,4,3,5,,
Cormorant sp.,,,,,,,,,,,,,,,,,,
Calidris sp.,,,,,,,,,,,,,,,,,,
SSHA,,,,,,,,,,,,,,,,,,
NOHA,,,,,,,,,,,,,,,,,,
OSPR,1,,,1,,,,,,,,,,,,,,
MAKE,,,,,,,,,,,,,,,,,,
PEFA,9,,,1,,1,1,1,1,1,,,,,1,1,1,
MERL,3,,,,1,,1,1,,,,,,,,,,
Falcon sp.,,,,,,,,,,,,,,,,,,
BAEA,10,,1,,1,,,,,2,1,,1,,2,1,1,
PAJA,,,,,,,,,,,,,,,,,,
Jaeger sp.,,,,,,,,,,,,,,,,,,
RAZO,12,,,,,,,,,,1,,1,1,2,,1,6
Large alcid sp.,,,,,,,,,,,,,,,,,,
RBGU,181,2,12,2,2,6,9,9,17,25,26,12,18,8,28,,3,2
BOGU,2,,,,,,,,,,,,,1,,,,1
BLKI,24,,,,,,,,,13,1,,1,2,3,,1,3
LAGU,8,3,1,1,1,2,,,,,,,,,,,,
