Date,Species Totals,8/27/2016,8/28/2016,8/29/2016,8/30/2016,8/31/2016,9/1/2016,9/2/2016,9/3/2016,9/4/2016,9/5/2016,9/6/2016,9/7/2016,9/8/2016,9/9/2016,9/10/2016,9/11/2016,9/12/2016,9/13/2016,9/14/2016,9/15/2016,9/16/2016,9/17/2016,9/18/2016,9/19/2016,9/20/2016,9/21/2016,9/22/2016,9/23/2016,9/24/2016,9/25/2016,9/26/2016,9/27/2016,9/28/2016,9/29/2016,9/30/2016,10/1/2016,10/2/2016,10/3/2016,10/4/2016,10/5/2016,10/6/2016,10/7/2016,10/8/2016,10/9/2016,10/10/2016,10/11/2016,10/12/2016,10/13/2016,10/14/2016,10/15/2016,10/16/2016,10/17/2016,10/18/2016,10/19/2016,10/20/2016,10/21/2016,10/22/2016,10/23/2016,10/24/2016,10/25/2016,10/26/2016,10/27/2016,10/28/2016,10/29/2016,10/30/2016,10/31/2016,11/01/2016,11/02/2016,11/03/2016,11/04/2016,11/05/2016,11/06/2016,11/07/2016,11/08/2016,11/10/2016,11/11/2016,11/12/2016,11/13/2016,11/14/2016,
Minutes of Observation,,300,300,,,240,300,300,300,300,,,120,0,120,300,265,90,90,315,315,330,315,300,120,,240,300,330,300,305,120,0,280,300,300,300,300,120,135,300,300,300,125,305,195,120,355,305,300,300,300,280,280,105,,,,,300,160,105,280,,165,275,150,240,150,120,120,210,180,220,240,120,150,180,180,120,15585
Time(s) of Observation,,6:30-9:30 AM,6:30-9:30 AM,,,6:30-8:30 AM,6:30-9:30 AM,6:30-9:30 AM,6:30-9:30 AM,6:30-9:30 AM,,,,,,6:30-9:30 AM,7:05-9:30 AM,6:05-7:35 AM,6:00-7:30 AM,6:15-9:30 AM,6:30-9:30 AM,6:15-9:30 AM,6:30-9:30 AM,6:30-9:00 AM,,,Fog.8:30-10:30;3:30-5:30,"630-930,330-530","6:30-9:30,3:15-5:45","630-930,330-530","630-930,325-530",330-530,,"610-930,330-530","630-930,330-530","630-930,330-530","630-930,330-530","630-930,330-530",330-530,330-545,"630-930,330-530","630-930,330-530","""","Fog AM, 330-3=535","630=930,325-530","630-930,315-330",330-530,"630-1010,320-535","630-930,325-530","630-930,330-530","630-930,330-530","""","640-930,330-530","640-915,3-450",345-530,,,,,"630-930,330-530",650-930,300-445,"650-930,330-530",,"705-945,3-5","655-940,3-5",0700-0930,"7-930,3-430",0700-0930,700-900,"7-8,3-4","7-930,3-4","7-9,3-4","720-930,250-420","620-920,320-420",630-830,630-900,630-930,630-930,705-905,
,,3:30-5:30 PM,3:30-5:30 PM,,,3:30-5:30 PM,3:30-5:30 PM,3:30-5:30 PM,3:30-5:30 PM,3:30-5:30 PM,,,3:30-5:30 PM,,3:30-5:30 PM,3:30-5:30 PM,3:30-5:30 PM,,,3:30-5:30 PM,3:15-5:30 PM,3:15-5:30 PM,3:15-5:30 PM,3:30-5:30 PM,3:30-5:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alison Vilag,Alison Vilag,Medea S.,
General Wind Dir/Velocity,,,,,,,,,,,,,,,,,,W 0-3,SW 0-5,SW 0-12,W 0-3,SW 0-7,SSW 0-7,SW 0-12,NNE 2-5,,SW/W 0-3;4-7,W/SW 0-7,WSW 4-7,W 0-3,WNW 0-5,W 15-20,,"w 0-3, ene 4-7",NE 4-7,ene 0-3,NE 0-3,"Fog, NE 0-3","SE  ""5 gusts""",ESE 2,"NE 0-3,SW 0-3","S 0-3, 4-7",S 0-3,S 0-7,NNW 0-3,"NNW 4-7,8-11",N 5-20,"S 0-3, SE 4-7","SW4-7, SE8-11",NNW 4-7,"NNW 0-3, SW 0-3","SW 8-11, 20","var 0-3,W 5-10",ESE 2-5,W 2-8,,,,,"W 20, NW 15-25","WNW3-8, 20",NW 3-10,eNE 2-7,,NNW 0-7,WNW 0-5,NW 0-3,"Var0-3,S 10","S,SE ?",NNW 4,NNW 10,W 5,"NW5, NNE 15",N 0-5,NNW 3-6,NW 6,SSW 9,?,?,WSW 5-10,
Unidentified,7867,60,109,,,1,4,52,66,96,,,2,,1,106,7,22,10,5,180,36,11,1,,,16,58,61,268,53,13,,242,396,50,138,89,0,0,61,31,65,120,11,1069,30,470,15,509,1044,11,1,109,6,,,,,7,5,17,121,,247,15,25,73,649,109,25,666,31,60,16,37,53,0,0,6,7867
Double-crested Cormorant,12490,194,258,,,119,94,123,349,281,,,16,,,51,94,140,32,16,315,434,95,4,1,,123,493,97,802,425,39,,999,173,120,44,240,329,198,58,4,173,24,233,217,750,628,174,233,207,193,103,540,2,,,,,6,210,820,124,,90,71,239,169,212,63,21,126,56,7,14,17,8,0,0,0,12490
Common Eider,11728,15,244,,,25,15,62,80,56,,,,,4,24,2,59,41,23,72,223,117,40,,,37,211,123,228,106,22,,493,390,155,135,100,174,81,246,134,218,261,282,84,17,1583,795,182,616,594,305,702,102,,,,,169,84,166,546,,272,135,69,70,254,37,14,201,9,32,56,8,8,31,59,30,11728
Canada Goose,205,,28,,,,,,13,,,,,,,,,,,,,29,,,,,,17,1,2,37,0,,0,0,0,0,8,0,0,0,4,28,0,0,2,11,0,0,0,0,0,3,0,0,,,,,0,0,12,0,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,205
Northern Gannet,8660,2,,,,6,,,,,,,3,,3,,10,63,8,110,41,20,16,8,,,,,3,1,20,4,,128,101,73,42,67,4,27,11,58,8,5,57,19,1,309,506,396,102,996,822,623,62,,,,,1357,129,81,464,,92,139,0,47,336,175,199,319,159,29,59,121,79,53,78,9,8660
Common Loon,1492,,,,,,3,6,10,11,,,,,,10,2,2,17,23,9,70,18,3,,,4,50,57,53,66,4,,40,20,18,13,6,4,5,32,13,13,0,9,16,15,175,47,55,84,89,34,29,,,,,,13,31,27,44,,33,14,15,5,26,22,4,3,6,3,17,4,10,3,65,12,1492
