Date,,9/4/18,9/5/18,9/6/18,9/7/18,9/8/18,9/9/18,9/10/18,9/11/18,9/12/18,9/13/18,9/14/18,9/15/18,9/16/18,9/17/18,9/18/18,9/19/18,9/20/18,9/21/18,9/22/18,9/23/18,9/24/18,9/25/18,9/26/18,9/27/18,9/28/18,9/29/18,9/30/18,10/1/18,10/2/18,10/3/18,10/4/18,10/5/18,10/6/18,10/7/18,10/8/18,10/9/18,10/10/18,10/11/18,10/12/18,10/13/18,10/14/18,10/15/18,10/16/18,10/17/18,10/18/18,10/19/18,10/20/18,10/21/18,10/22/18,10/23/18,10/24/18,10/25/18,10/26/18,10/27/18,10/28/18,10/29/18,10/30/18,10/31/18,11/1/18,11/2/18,11/3/18,11/4/18,11/5/18,11/6/18,11/7/18,11/8/18,11/9/18,11/10/18,11/11/18,11/12/18,11/13/18,11/14/18
Minutes of Observation,20156,120,390,120,120,330,330,330,195,300,100,160,0,210,60,210,380,405,225,345,345,300,330,180,280,300,210,360,330,360,360,300,240,330,330,330,330,330,210,240,345,400,345,360,540,305,270,350,330,330,330,300,330,240,360,210,300,330,315,240,30,211,315,360,195,300,300,240,300,300,300,210,240
Time(s) of Observation,,1700-1900,"0530-1000,",1600-1800,0600-0900,"0530-0900,1700-1900","0530-0900, 1700-1900","0530-0900, 1700-1900","0615-0900, 1700-1730","0530-0900,1530-1600",0550-0730,0535-0900*,"No count, fog all day.","0700-0800, 1330-1600",1530-1630,0545-0915,"0550-0910, 1200-1500",0545-0900;1300-1630,0545-0900;1445-1515,"0600-0900, 1615-1830","0550-0920, 1615-1830",0600-0900,"0600-0930, 1500-1700",0600-0900,0550-0900; 1530-1700,0600-0900;1400-1600,0600-0930,"0600-1000, 1545-1745",0600-0930,"0600-1000, 1430-1630","0605-1005, 1530-1730",0600-0900;1500-1700,0600-0900;1515-1615,"0600-0930,1545-1745","0600-0930, 1210-1410","0600-0930, 1550-1750",0610-0940 1555-1755,"0610-0940, 1210-1410",0630-0900;1600-1700,0615-0915;1400-1500,"0615-1000,1545-1745","0620-1200, 1700-1800","0615-1000, 1300-1500","0625-1025, 1545-1745",0630-1530,0615-0930;1410-1600,0630-1100,"0625-1100, 1645-1800","0630-1000, 1525-1725","0630-1000, 1540-1740","0630-1000, 1530-1730","0630-0930, 1500-1700","0635-1005, 1200-1400",0630-0930;1300-1400,0630-1200,"0645-0815, 1540-1740","0640-0940, 1350-1550","0640-1010, 1405-1605",0645-1200,0700-0930;1500-1630,0700-0730,0726-1026. 1549-1620,"0545-0900,1410-1610","0550-0850, 1140-1440","0600-0900, 1400-1415","0600-0900, 1100-1300",0600-0900;1345-1545,0600-0900;1330-1430,"0615-0915, 1410-1610","0605-0905,1405-1605","0605-0905, 1410-1610","0610-0910, 1425-1455",0615-1015
Principle Observer,,E. Johnson,E. Johnson,S. Benz,S. Benz,E Johnson,E Johnson,E Johnson,E Johnson,E Johnson/S Benz,S. Benz,S. Benz,E Johnson,E Johnson,E Johnson,E Johnson,E Johnson/S Benz,S Benz,S Benz,E Johnson,E Johnson,E Johnson,E Johnson,E Johnson,S Benz,S Benz,E Johnson,E Johnson,E Johnson,E Johnson,E Johnson,E Johnson/S Benz,S Benz,E Johnson,E Johnson,E Johnson,E Johnson,E Johnson,S Benz,S Benz,E Johnson,E Johnson,E Johnson/K Yakola,E Johnson,E Johnson/S Benz,S Benz,S. Benz,E Johnson,E Johnson,E Johnson,E Johnson,E Johnson,E Johnson,S Benz,E Johnson,E Johnson,E Johnson,E Johnson,E Johnson,S Benz,S Benz,"Isabel Brofsky, Keenan Yakola","E Johnson, Isabel Brofsky, Keenan Yakola",E Johnson,E Johnson,E Johnson,S. Benz,S. Benz,E Johnson,E Johnson,E Johnson,E Johnson,E Johnson
General Wind Dir/Velocity,,WNW 1-4,NE 1-3,W 3-8,N 2-5,N  1-3,am NE 1-3 pm w 1-3,E 3-5,E 11-13,E 1; SSW 1-4,W 0-3,Var E 0-2,Thick Fog,"Fog in AM, S at 1-2 in PM",W 11-13,W 3-11,E 2-5,"N 2-10, Var.0-5",N 0-2; SSE 8-15,W-NW 3-15/ N 2-3,0-11 E in am W in pm,"E 2-3, W 2-5",S 5-7,SSW 9-11,WNW 0-3; NE 1-3,N; NW 1-5,W 3-6,"SE 0-3, W 6-7",E 0-2,NE 2-10,E/W 0-2,S/W 2-5,N 3-10,"E 3-7, SW 5-9","SW 5-9, E 1-4","NE 2-3, S 5-6",SW 6-17,SW 2-7 E 4-6,ENE 12-18,NW 2-5,"W 1-7, NW 2",NW 4-8,"N 2,S/SE 3-9",NW 9-15,SW 10-17,WNW 13-25,"W, WSW 3-7",SW 9-23,N2-7,"NW, W 8-13",S 1-6,N 4-6,N 6-9,WNW 12-18,"E, S 2-7","E-11, N-3. SW-12-15","W 4-10, S 2",N 4-9,N 2-5,WSW/W 0-4,ENE 4-9,W 2-8. S 14-17,NW 5-11,"N, 2-4, S 3-5","NE/E 4-13, SW 4",W 10-15,W 10-15,WBW 3-6/ESE 2-4,"SE 14-22, NW 9",W/NW 9-17,NW 2-8,SW 4-13,W 10-17 N 11
Visibility,,no data,no data,10 miles,10 miles,10 miles,10 miles,10 miles,am: 2 miles pm 0-50 yards,0-50 yds; 6 miles,1-2 miles,1-6 miles,0-25 yds,"10 miles, possibly slightly less.  Baker island visible but not clear","Thick Fog in AM, 25-50 yd vis during PM obs",0-5 miles due to fog,3-8 miles due to rain/mist,10,10,3-10,10,10,6-10,0-4 (fog),8,2-10,10,10,8-10,.5-8 (rain),7-10,4-7,5-10,10,6-9,10,2-5,3-5,.25 -.50,5,4-10,10,5-10,10,10,10,8-10,3-4,10,8-10,5-10 (rain),4-9 (rain),8-10,8-10,10,0-3 fog/rain,1-6 fog and rain,8-10,10,2-6,0.5 Sideways Rain,1-3,10,10,0-1,4-5,8-10,5-10,.5-10,7-10,7-10,0-3 fog and rain,10
,Season Total to Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTLO,474,,,,,,1,,,,,,,1,,,,,,,1,1,,,,,,,,,2,1,,3,1,1,,1,1,2,1,1,6,1,5,1,34,,5,7,9,2,,3,20,,3,16,13,24,,6,8,82,,14,62,71,1,10,37,15,1
COLO,1644,,4,,6,26,15,12,,3,,,,1,,7,32,22,32,19,26,9,23,5,16,5,5,12,27,4,56,15,11,38,72,13,8,36,6,20,23,38,61,17,41,17,167,39,76,12,38,2,7,9,196,,13,14,15,32,,1,19,108,2,7,27,13,2,18,28,5,11
LO sp.,304,,,,,1,,1,,,,,,,,,15,,,,,,,,,,,,2,,4,,,,,,1,,,,1,5,4,1,2,,,1,11,4,7,1,1,,57,,,5,,,,1,2,150,4,3,,,1,,10,9,
