Date,,9-4-19,9-5-19,9-6-19,9-7-19,9-8-19,9-9-19,9-10-19,9-11-19,9-12-19,9-13-19,9-14-19,9-15-19,9-16-19,9-17-19,9-18-19,9-19-19,9-20-19,9-21-19,9-22-19,9-23-19,9-24-19,9-25-19,9-26-19,9-27-19,9-28-19,9-29-19,9-30-19,10-1-19,10-2-19,10-3-19,10-4-19,10-5-19,10-6-19,10-7-19,10-8-19,10-9-19,10-10-19,10-11-19,10-12-19,10-13-19,10-14-19,10-15-19,10-16-19,10-17-19,10-18-19,10-19-19,10-20-19,10-21-19,10-22-19,10-23-19,10-24-19,10-25-19,10-26-19,10-27-19,10-28-19,10-29-19,10-30-19,10-31-19,11-1-19,11-2-19,11-3-19,11-4-19,11-5-19,11-6-19,11-7-19,11-8-19,11-9-19,11-10-19,11-11-19,11-12-19,11-13-19,11-14-19,11-15-19
Minutes of Observation,18244,300,300,300,0,240,300,300,300,300,0,330,300,300,300,300,300,240,300,300,294,270,300,300,300,300,300,300,300,240,300,300,300,300,180,300,300,300,300,300,240,300,270,300,60,300,300,300,300,330,120,120,240,240,300,0,95,240,80,180,300,300,300,270,300,290,240,240,180,270,120,25,60,240
Time(s) of Observation,,06:00-11:00,06:00-10:00; 17:00-18:00,06:00-07:00,count not completed because of hurriane Dorian,05:50-08:50; 17:00-18:00,06:00-11:00,06:00-09:00;16:40-18:40,06:00-09:00; 15:20-17:20,05:50-09:50,,06:00-11:30,05:30-06:30; 14:30-18:30,06:00-11:00,06:00-11:00,06:00-11:00,06:00-11:00,6:00-10:00,06:00-11:00,06:10-11:10,06:10-11:10 (took bathroom break from 08:02-08:08),06:10-10:40,0600-1100,0600-1100,06:10-11:10,06:10-11:10,06:10-11:10,06:10-11:10,06:10-11:10,06:10-10:10,06:10-11:10,6:10 -11:10,06:20-11:20,06:20-11:20,06:20-09:20,0620-1120,06:20-11:20,06:30-09:30; 15:30-17:30,06:30-11:30,06:30-11:30,06:30-11:30,06:30-11:30,06:40-11:10,06:40-11:40,1305-1405,6:26-11:26,06:40-11:40,06:40-11:40,06:40-11:40,06:40-12:10,06:40-08:40,06:40-08:40,7:00-11:00,07:20-11:20,6:50-11:50,No count completed due to Hallie being ill,"07:00-07:20,07:30-08:30, Seth completed 15 minutes elsewhere",07:00-11:00,08:20-08:50; 09:50-10:50,"0650-0740, 0900-1030
",07:00-12:00,06:00-09:00;14:07-16:07,06:10-11:10,06:10-11:10 (took 1 10 minute bathroom break and 1 20 minute break to warm up) ,06:20-09:20; 14:20-16:20,06:10-11:10 (10 minute bathroom break taken in hour 3),0600-1000,06:20-08:20;09:50-11:20,06:40-09:40,06:20-10:50,09:40-11:40,06:30-06:55,11:40-12:40,6:15 - 10:15
Principle Observer,,Hallie Daly,Hallie Daly,Hallie Daly,,Hallie Daly,Hallie Daly,Hallie Daly,Hallie Daly,Hallie Daly,No Observer Available,Earl Johnson,Hallie Daly,Hallie Daly,Hallie Daly,"Hallie Daly, Seth Benz","Hallie Daly, Serth Benz",Seth Benz,Hallie Daly,Hallie Daly,Hallie Daly,Hallie Daly,Seth Benz,Seth Benz,Hallie Daly,Hallie Daly,Hallie Daly,Hallie Daly,Hallie Daly,Hallie Daly,Hallie Daly,Seth Benz,Hallie Daly,Hallie Daly,Hallie Daly,Seth Benz,Hallie Daly,Hallie Daly,Hallie Daly,Hallie Daly ,Hallie Daly,Hallie Daly,Hallie Daly,Hallie Daly,Seth Benz,Seth Benz,Hallie Daly,Hallie Daly,Hallie Daly,Hallie Daly,Hallie Daly,Hallie Daly,Seth Benz,Hallie Daly,Nathan Dubrow,,"Hallie Daly, Seth Benz",Hallie Daly,Hallie Daly,Seth Benz,Hallie Daly,Hallie Daly,Hallie Daly,Hallie Daly ,Hallie Daly,Hallie Daly,Seth Benz,Hallie Daly,Hallie Daly,Hallie Daly,Hallie Daly,Hallie Daly,Seth Benz,Seth Benz
General Wind Dir/Velocity,,S1,SSE 1,SSW 2,,NW1,N 0,NNE 1 ,SSW 3,N 1,,S 1-4,SE 0 ; N1-3,WNW 0-1,WNW 0,N 0-3,WNW 0,WNW 2-5,NW 1,WSW 0-1,S 3-4,SSW 1-3,NW 2-8,S 0-3 / fog early,NW 0,SSW 1-2,NNW 0,NNE 0,SSE 1-2,NNW 1-3,NNW 0-1,NNE 1,NNW 0-1,SSE 0-4,SSE 2-4,SSW 2-6,NNW 0-1,NNE 0-3,NNW 1-3,NNW 1-3,NNE 0,SSE 0,WNW 0,SSW 0,S 5,W/WNW 5,WNW 3-4,WNW 0,SSE 0,NNW 1-3,SSE 4-5,SSE 1-2,NW 2-5,NNW 0,NE/ENE/E 8-10,,NNW 0,SSE 1,SSE 2,SSW 6-7,SSE 0,NNW 0-1,SSE 0-1,S 2-3,NWN 0-2; NWN 2-3,SSW 3-4,NW 1-5,NNW 1-2,NNW 3-4,NNW 0,SSW 2-3,SSW 2-3,S 3-7,WSW 1-6
Visibility,,10 mi,10 mi,10 mi,,10 mi,10 mi,10 mi,10,10,,10,100m ; 10 mi,10 mi,10 mi,10 mi,10 mi,10 mi,6-10 mi,10 mi,6-8 mi,5-7 mi,3 - 8 mi,0 - 8 mi,10 mi,10 mi,10 mi,10 mi,10 mi,6-10 mi,10 mi,3-8 mi,10 mi,10 mi,1-3 mi,.25 - 8 miles,10 mi,10 mi,10 mi,0.25-8 mi,8 mi,8 mi,10 mi,10 mi,"3mi., partial rain",10 mi,10 mi ,10 mi,10 mi,10 mi,0.25 mi,10 mi,10 mi,10 mi,10 mi,,10 mi,2-9 mi,<0.25-1 mile,<.25 - 1 mile,10 mi,10 mi,10 mi,10 mi,10 mi,10 mi,5 mi,7 mi,10 mi,10 mi,0.25-0.5 mi,5 mi,5 mi,8 mi
,Running Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTLO,382,0,0,1,,1,2,0,0,0,,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,3,6,11,6,0,0,26,0,43,,5,0,0,0,9,11,17,2,16,17,15,14,22,63,7,0,18,45
COLO,1478,11,6,16,,15,19,15,2,25,,12,0,33,27,42,31,14,19,24,6,6,26,6,25,44,27,35,65,46,32,19,21,73,7,33,25,11,41,7,9,9,4,9,1,13,21,49,59,81,1,25,22,12,9,,4,10,7,0,17,29,21,28,8,37,11,9,5,41,3,0,8,50
LO sp.,190,0,0,2,,2,0,3,0,1,,1,0,0,0,18,5,0,2,0,0,0,0,0,0,0,0,9,6,3,0,0,0,2,0,1,2,1,4,0,0,0,0,2,0,0,0,15,2,0,0,0,0,0,,,1,0,0,0,8,1,39,0,0,0,0,24,0,27,0,0,0,9
