Date,,09-01-20,09-02-20,09-04-20,09-05-20,09-06-20,09-10-20,09-11-20,09-12-20,09-11-20,09-13-20,09-14-20,09-15-20,09-16-20,09-17-20,09-18-20,09-19-20,09-20-20,09-21-20,09-22-20,09-23-20,09-24-20,09-25-20,09-26-20,09-27-20,09-28-20,09-30-20,10-01-20,10-02-20,10-03-20,10-04-20,10-05-20,10-06-20,10-07-20,10-08-20,10-09-20,10-10-20,10-11-20,10-12-20,10-13-20,10-14-20,10-15-20,10-16-20,10-17-20,10-18-20,10-19-20,10-20-20,10-21-20,10-22-20,10-23-20,10-24-20,10-25-20,10-26-20,10-27-20,10-28-20,10-29-20,10-30-20,10-31-20,11-01-20,11-02-20,11-03-20,11-04-20,11-05-20,11-06-20,11-07-20,11-08-20,11-09-20,11-10-20,11-11-20,11-12-20,11-13-20,11-14-20,11-15-20,11-16-20,11-17-20,11-18-20,11-19-20,11-20-20,11-21-20
Minutes of Observation,16480,160,120,135,0,0,180,204,209,,205,185,243,186,187,172,180,180,180,180,180,180,180,165,0,65,60,180,84,302,238,300,300,300,30,300,300,300,300,300,300,180,300,120,300,300,300,200,210,300,120,300,280,300,300,180,300,300,180,300,120,300,240,300,300,240,0,300,180,210,270,300,300,300,300,300,180,300,
Time(s) of Observation,,0620-0900,0615-0815,0545-0815,,,0600-0900,0540-0904,0550-0919,,0545-0900,0555-0900,0550-0953,0555-0901,0553-0900,0608-0900,0609-0909,0606-0909,0606-0906,0614-0914,0614-0914,0614-0914,0620-0920,0630-0915,,0620-0725,,0634-0934,0625-0749,"0625-0927,  1425-1625","0634-0936, 1713-1809","0629-0842, 1234-1520","0828-1128, 1332-1533","0635-0936, 1313-1514",0630-0700,"0633-0933, 1234-1335","0633-0933, 1307-1509","0630-0930, 1300-1500","0627-0927, 1327-1527","0626-0926, 1310-1510","0647-0947, 1253-1453",0635-0935,"0629-0929, 1303-1503",1336-1536,"0634-0934, 1307-1508","0631-0931, 1236-1436",0624-0924,"0628-0929, 1321-1351",0615-0945,"0631-0931, 1258-1459",1438-1638,"0632-0932, 1512-1712","0633-0933, 1300-1440","0805-1105, 1324-1524","0637-0937, 1327-1527",0630-0930,"0642-0843, 1218-1518","0642-0946, 1310-1510",0549-0849,"0605-0905, 1255-1455",1147-1347,0554-0854,0545-0945,"0548-0851, 1224-1424","0549-0850, 1254-1454","0557-0857, 1204-1304",,"0553-0853, 1238-1438",0552-0852,0600-0930,"0555-0855, 1246-1416","0557-0857, 1236-1436","0602-0902, 1220-1420","0601-0901, 1231-1431","0603-0903, 1240-1440","0603-0903, 1246-1446",0600-900,"0604-0904, 1233-1433",
Principle Observer,,Benz/Klyver,ZK,SB,ZK,ZK,SB,ZS,ZS,,ZS,ZS,ZS,ZS,"ZS,SB",ZS,SS,ZS,ZS,ZS,ZS,ZS,ZS,ZS,ZS,ZS,,ZS/AK,ZS/AK,AK,AK,AK,Ak,AK,SB,AK,AK,AK,AK,AK,AK,SB,AK,AK,AK,AK,AK,AK,SB,AK,AK,AK,AK,AK,AK,SB,AK,AK,AK,AK,AK,AK,SB,AK,AK,AK,AK,AK,AK,SB,AK,AK,AK,AK,AK,AK,SB,AK,
General Wind Dir/Velocity,,N 1-3,NE 5-10,SSW 10,,,ESE 1-3,N 15-18,N 2-7,,S 8-9,W 13-15,NNW 7-12,SSW 14-17,SW 20-22,NNE 15,N 13,N 15,NE 11,NNE 15,NW 19,E 11,NE 9,SSW 8,,SW 13,,SW 23,E 5,NW 7,"NE, 7",E 5,S16,S 13,WNW 15-25,W 18,SW23,NNW15,NE 9,E 15,W13,N/Var 2-5,S 17,WNW 25,NNW 5/ SE 7,SE 4-6,SSE5/ SSW12,Unlimited/ <1mi,8 -10 mi,"Unlimited, 10 mi",10 mi,unlimited,unlimited,unlimited,Unlimited/ 11 mi,8 miles,12 + miles,unlimited,Unlimited,11-12 Mi,NW 15,NE 3/ SSE 10,SSW 12-18,SW 14,SW 9,NE 12,,SSW 11,SW 16,W/Var. 0-4,NNE14/ ENE15,WNW 13,N 9/ SE 5,"SSW 7, WSW 20","WNW13, W 14",NW18,WNW 2-6,SW 14,
Visibility,,10 miles,8-10 miles,0/ Dense Fog,,,0/ Dense Fog,unlimited,unlimited,,unlimited,unlimited,unlimited,unlimited,10mi,unlimited,unlimited,unlimited,,Unlimited,unlimited,Unlimited,Unlimited,0-fog,0-fog,0-fog,,10 mi,9-10 mi to 0,unlimited,unlimited,0 to unlimited,Unlimited,9 mi,Unlimited,Unlimited,9 mi,Unlimited,Unlimited,Unlimited,"2 mi, to Unlimited",8 miles,9 mi,4 mi to 11 mi,unlimited,unlimited,unlimited / 4-11 mi,NE13,NNW 0-3,E 10,SSW10,NNW 12,NE 10,NW 13,NNE 6 / SE 5,NW 1-6,NNE23/ N19,NNW8/ W8,SSW 20,NW 18/ W 20,Unlimited/0,Unlimited,3-7miles,8-9 mi,10-12 mi,11 mi / 4 mi,0,8 mi/ 4 mi,3 mi,"1-3,8","Unlimited, 11 mi",unlimited,Unlimited,10 miles,unlimited,Unlimited,10,10 mi,
,Running Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTLO,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,8,3,,6,6,2,26,33,1,5,3,5,3,26,10,15,32,85,,22,10,29,7,20,30,14,34,7,3,60,
COLO,1590,7,5,,,,,17,23,,9,1,26,4,13,14,11,14,15,14,8,4,7,,,,,4,,,4,9,5,11,1,62,78,95,29,26,12,8,1,1,24,27,12,13,86,99,12,46,67,45,28,62,4,27,34,35,5,30,16,44,39,17,,37,10,7,7,23,22,31,47,9,14,73,
LO sp.,255,,,,,,,4,5,,,,,,1,1,2,2,5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,5,7,14,6,14,3,26,1,2,13,15,,13,3,,2,8,25,9,19,13,,23,
RNGR,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,11,10,,12,5,8,0,1,15,1,,,30,0,17,15,39,,2,,1,3,1,1,10,3,3,,1,
HOGR,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,0,,,,,,,,,,,,,,,,
GRCO,74,,,,,,,,9,,6,6,1,,,4,7,1,,3,12,,1,,,,,4,,,1,2,1,,,,,1,,,,1,,,2,,,,7,,,,,,,4,,,,,,1,0,,,,,,,,,,,,,,,,
