species,date,year,time.of.obs,start.time,start.time.2,total.obs.mins,obs.hours,day.total,count.p.hour,wind.dir.speed,wind.direction,visibility,visibility.score,principle.observer,,,,,,,,,
ABDU,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
AMCR,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
ATSP,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
BAEA,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
BAOR,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
BLGU,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
BLKI,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
BLSC,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
BOGU,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
BOWA,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
BUFF,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
CATE,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
COEI,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
COGO,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
COGR,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
COLO,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
Calidris sp.,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
DCCO,8/14/14,2014,6:30-8:30,6:30,,120,2,1,0.5,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
GBHE,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
GRCO,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
HADU,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
LAGU,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
LESC,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
LTDU,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
MERL,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
NOGA,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
NOPI,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
PAJA,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
PEFA,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
PISI,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
RBGU,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
RBME,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
RNGR,8/14/14,2014,6:30-8:30,6:30,,120,2,0,0,ENE 20-30,ENE,NA,NA,KO,,,,,,,,,
