"species","date","day.total","total.obs.mins","time.of.obs","principle.observer","wind.dir.speed","visibility"
"ABDU",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"AMGO",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"AMPI",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"BAEA",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"BBPL",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"BLGU",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"BLKI",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"BLSC",2017-09-11,3,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"BOGU",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"Bird sp.",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"CANG",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"CATE",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"COEI",2017-09-11,46,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"COLO",2017-09-11,32,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"CORA",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"COTE",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"Cormorant sp.",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"DCCO",2017-09-11,402,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"Falcon sp.",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"GBHE",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"GRCA",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"GRCO",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"GWTE",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
"HADU",2017-09-11,0,300,"6:30-9:30, 3:30-5:30","Andrew Wolfgang","NW-10; NW -6",NA
