"species","date","year","time.of.obs","total.obs.mins","obs.hours","day.total","count.p.hour","wind.dir.speed","visibility","principle.observer"
"ABDU",2024-08-21,"2024","513-1013",300,5,1,0.2,"WSW 0mph","Foggy","NH"
"ABDU",2024-08-22,"2024","514-1014",300,5,0,0,"SW 2.7 MPH","Clear (Could see Frenchboro)","NH"
"ABDU",2024-08-23,"2024","515-1015",300,5,0,0,"WNW 7mph",">20mi","NH"
"ABDU",2024-08-24,"2024","516-1016",300,5,2,0.4,"W 2mph",">20","NH"
"ABDU",2024-08-25,"2024","518-1018",300,5,0,0,"WSW 2mph","15","NH"
"ABDU",2024-08-28,"2024","655-1021",226,3.76666666666667,0,0,"SW 4mph","foggy, 4","NH"
"ABDU",2024-08-29,"2024","522-1022",300,5,0,0,"N 3mph","20mi","NH"
"ABDU",2024-08-30,"2024","523-1023",300,5,0,0,"SE 2mph","20mi","NH"
"ABDU",2024-08-31,"2024","525-1025",300,5,0,0,"S 3.5mph","20-15mi","NH"
"ABDU",2024-09-02,"2024","527-1027",300,5,0,0,"NW 2mph","20mi","NH"
"ABDU",2024-09-03,"2024","529-1029",300,5,0,0,"WNW 1.5-8mph","20mi","NH"
"ABDU",2024-09-05,"2024","530-630",300,5,0,0,"SW 1.5mph","5-20","NH"
"ABDU",2024-09-06,"2024","532-532",300,5,0,0,"E 2.5mph","19-20","NH"
"ABDU",2024-09-07,"2024","533-1033",300,5,0,0,"NW 2.5","2-15","NH"
"ABDU",2024-09-09,"2024","535-1035",300,5,0,0,"W 7.5-14","20","NH"
"ABDU",2024-09-10,"2024","536-1036",300,5,0,0,"W 2.5","20","NH"
"ABDU",2024-09-11,"2024","537-1037",300,5,1,0.2,"NW 2.5","20","NH"
"ABDU",2024-09-12,"2024","538-1038",300,5,2,0.4,"WSW 1","20","NH"
"ABDU",2024-09-13,"2024","540-1040",300,5,2,0.4,"Calm/SW 2","7-9","NH"
"ABDU",2024-09-14,"2024","541-1051",310,5.16666666666667,2,0.387096774193548,"NNE 2-6","20","NH"
"ABDU",2024-09-16,"2024","543-1053",300,5,0,0,"SW 8","20","NH"
"ABDU",2024-09-17,"2024","544-1044",300,5,1,0.2,"Calm","5-20","NH"
"ABDU",2024-09-18,"2024","545-1045",300,5,1,0.2,"Calm","10-19","NH"
"ABDU",2024-09-19,"2024","546-1046",300,5,0,0,"Calm","20","NH"
"ABDU",2024-09-20,"2024","548-1048",300,5,0,0,"NE 4","14-20","NH"
"ABDU",2024-09-22,"2024","550-1050",300,5,0,0,"NE 6","20","NH"
"ABDU",2024-09-23,"2024","551-1051",305,5.08333333333333,0,0,"NE 4","20","NH"
