,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Running Season Totals,8/24/21,8/25/21,8/26/21,8/27/21,8/28/2021,8/29/21,8/31/21,9/1/21,9/2/21,9/3/21,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21,9/21/21,9/22/21,9/23/21,9/24/21,9/26/21,9/27/21,9/28/21,9/29/21,9/30/21,10/1/21,10/2/21,10/3/21,10/4/21,10/5/21,10/6/21,10/7/21,10/8/21,10/9/21,10/10/21,10/11/21,10/12/21,10/13/21,10/14/21,10/15/21,10/16/12,10/17/21,10/18/21,10/19/21,10/20/21,10/21/21,10/22/21,10/23/21,10/24/21,10/25/21,10/26/21,10/27/21,10/28/21,10/29/21,10/30/21,10/31/21,11/1/21,11/2/21,11/3/21,11/4/21,11/5/21,11/6/21,11/7/21,11/8/21,11/9/21,11/10/21,11/11/21,11/12/21,11/13/21,11/14/21,11/15/21,11/16/21,11/17/21,11/18/21,11/19/21,11/20/21,11/21,11/22/21,11/23/21,11/24/21
Minutes of Observation,15054,183,301,420,300,300,300,300,300,120,300,300,300,60,300,240,300,300,300,No Coverage,300,300,300,300,300,60,300,300,300,300,300,180,120,300,300,300,300,0,75,75,0,80,180,180,120,90,90,150,120,0,180,180,225,180,120,120,180,120,120,150,150,120,150,120,90,120,90,30,90,60,,,,,90,90,120,120,90,180,105,75,90,120,120,180,105,120,150,,60,
Time(s) of Observation,Hours  250.9,7:53-8:55  13:38-15:39,5:17-8:18  13:29-17:29,5:15-8:15  13:33-17:33,5:18-8:18  13:47-15:47,5:27-8:27  13:43-15:43,5:21-8:21  13:21-15:31,5:20-8:21  13:23-15:23,5:26-8:27  13:37-15:37,14:23-16:23,5:26-8:27  13:11-15:11,5:28-8:28  13:24-15:24,5:27-8:27  13:23-15:23,5:29-6:29,5:30-8:31  13:34-15:34,5:33-9:33,6:04-11:04,6:06-11:06,6:07-11:07,,6:21-9:21   12:57-14:57,5:35-8:35  12:49-14:49,5:50-8:50  14:06-16:06,6:47-9:47  13:19-15:19,5:41-8:41  13:15-15:15,13:45-14:45,5:42-8:43  13:35-15:35,5:41-8:41  13:08-15:08,5:46-8:46  13:58-15:58,5:50-8:50  13:22-15:22,5:46-8:46  13:26-15:26,5:50-8:50,14:00-16:00,5:52-8:53  13:23-15:23,5:57-8:57  13:18-15:18,5:57-8:57  13:31-15:31,5:55-8:55  13:19-15:19,,6:00 - 7:15,6:00 -7:15,,7:10 - 8:30,6:15-9:15,6:20-9:20,"6:30- 8:00, 4:35-5:05",6:30 - 8:00,6:30 - 8:00,6:40-9:10,"6:30 - 8:00, 3:25 - 4:00",,6:30-9:30,6:40 - 9:40,"6:15-9:15am, 3:10 - 3:55pm ",6:45-9:45,6:40 -8:40,6:40 - 8:40,6:30-9:30,"6:40-7:40,  8:30-9:30",6:30-8:30,6:45 - 9:15,6:30-9:00,6:45 - 8:45,6:45-9:15,7:00-9:00,6:45 - 8:15,7:00-9:00,6:45 - 8:15,8:00-8:30,7:00 - 8:30,7:00-8:00,,,,,6:45-8:15,6:45 - 8:15,7:00-9:00,6:35 -8:35,6:40-8:10,"6:30-8:15, 12:45-1:00, 1:15-2:15",6:25-8:10,7:00-8:15,6:40-8:10,6:45-8:45,6:25-8:25,6:25-9:25,6:40-8:25,6:00-8:00,6:35-9:05,,6:40-7:40,
Principle Observer,,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,A. Világ,A Világ,A. Világ,,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,ACK,,STB,STB,,STB,STB/RZK,RZK,RZK,RZK,RZK,RZK,RZK,,Bob D.,RZK,STB/RZK,STB/RZK,RZK,RZK,RZK,RZK,STB,RZK,RZK,RZK ,RZK,RZK,RZK,RZK,RZK,RZK,STB,STB,,,,,RZK,RZK,RZK,RZK/STB,RZK,RZK,RZK,RZK,RZK,RZK,RZK,RZK,RZK,STB,RZK,,RZK,
General Wind Dir/Velocity,,SW 6 mph,NW 7,"multiple directions, 2-11 mph",NW 7,NNW 4/ S 6,W4/ S8,S 5,W 6,N 16,W 7,W 7,E 6,S 8,W 7,S 3,S 4,WNW 1,W 1-3,,W 5,NW 4 / S 6,S13,N 5 / ENE 9,W3  SSE 7,SE 4,NNW 10,SW1  SSE7,S 5,S 9,S6,SE 9,W 7,W 5  SSW 13,S 1,NNW 7,NNW 6,,WNW 0-3,NNE 1-3,,N 0-3,WSW 1-5,N 4-8,"WNW 5-7am, NE 20-30 pm",,SE 8-9,SE - SEE 1-5,"W 6, SW 4-12",,NW 0-2,NE 10 - E 4,"S 5-10, SSE 20","SE 15-20, N 3-4",WNW15-20,WNW 21-30,"WNW 10-20, NW 5-10",SSE-SE 5-11,S 10-15,N 17-20,N 20-30,WNW 5-10,ENE 25-40,NE 40-60,NNE 30-35,NE 15-25,E 15-20,NE40-60,WSW 5-8,WNW 2-5,,,,,S 3-5,NW 3-12,WSW 9-15,NNE 10-20,NW 20-30,SE 18-23/30-35,NW 17 to Calm,W 20-30,SSE 18-25,WNW 28-35,NW 24-30,SSE25 - SSW18,WNW 16-22,WNW 8-12,SW 25-35,,WNW 26-32,
Visibility,,2 to 10 mi,9 to 10 mi,5 mi,unlimited,unlimited,unlimited,5-10 mi,unlimited,10 mi,unlimited,unlimited,unlimited/ 5 mi,1-3 mi,unlimited,5 mi,10 mi,2-10 mi.,10 mi.,,10+ mi,unlimited,9 mi-4 mi,11 mi/ unlimited,unlimited,4 mi to 1 mi,unlimited,unlimited,9-11 mi,3- 8 mi,5 mi,3 mi,6 mi,unlimited,6-9 mi,unlimited,11 mi,,unlimited,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,"5-8 miles, hazy",unl. - 8 miles,,Unl,"5 mi, unlimited",2mi - 5mi ,1-5 mi. in/out,unlimitied ,unlimitied,3-5 miles,unlimited,3 miles,unlimited,Blurry horizon,unlimited,2-5 miles,1-2 miles,5 miles,3-4 miles,unlimitied,0.5,10 miles,UNL,,,,,unlimited,unli - 6 miles,unlimited,3-6 miles,Unlimited,unli - 1/2 miles,Unlimited Hazy,4-5 miles,1-2 miles,unlimited,2-5 miles,2 miles,3-5 miles,3-7 miles,2 miles - unlim. ,,5 miles ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huge storm ,,,,,,,,,,,,,,,,,,,,,,,,
RTLO,222,,,,,,,,,,,,,,,1,,,3,,1,,1,,1,,,2,1,,,,,2,1,2,,,,,,,,,,1,,,,,,1,,,1,1,4,,5,1,,5,21,1,,3,3,No Migrants,4,5,,,,,4,1,2,1,6,18,65,3,2,,18,18,9,4,14,,9,
COLO,631,,2,3,5,2,3,5,,,6,3,17,,8,2,3,3,35,,7,15,17,9,10,,7,9,11,11,5,5,2,10,16,7,5,,8,7,,17,7,8,15,18,2,6,3,,3,4,6,3,15,5,21,5,9,12,6,23,22,3,2,8,5,,3,1,,,,,12,2,1,3,6,18,53,,5,5,3,13,17,3,20,,8,
LO sp.,133,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,,,,2,3,6,3,6,,,,,5,,,1,2,,1,,,,,,1,,,4,,,4,,2,27,8,,3,3,,,,,,,,2,2,2,1,2,8,19,,3,,3,,2,,2,,2,
RNGR,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
