,,on eBird,on eBird,on eBird,on eBird,,on eBird,on eBird,on eBird,on eBird,on eBird,on eBird,on eBird,on eBird,on eBird,on eBird,Not on eBird,on eBird,on eBird,,on eBird,,on eBird,on eBird,,on eBird,on eBird,on eBird,on eBird,on eBird,on eBird,on eBird,,,,on eBird,on eBird,,on eBird,,on eBird,on eBird,,,,on eBird,on eBird,on eBird,,on eBird,,on eBird,on eBird,,on eBird,on eBird,,on eBird,on eBird,,on eBird,,on eBird,on eBird,,on eBird,,on eBird,,,,,,
,Running Season Totals,9/13/22,9/14/22,9/15/22,9/16/22,9/17/22,9/18/22,9/19/22,9/20/22,9/21/22,9/22/22,9/23/22,9/24/22,9/25/22,9/26/22,9/27/22,9/28/22,9/29/22,9/30/22,10/1/22,10/2/22,10/3/22,10/4/22,10/5/22,10/6/22,10/7/22,10/8/22,10/9/22,10/10/22,10/11/22,10/12/22,10/13/22,10/14/22,10/15/22,10/16/22,10/17/22,10/18/22,10/19/22,10/20/22,10/21/22,10/22/22,10/23/22,10/24/22,10/25/22,10/26/22,10/27/22,10/28/22,10/29/22,10/30/22,10/31/22,11/1/22,11/2/22,11/3/22,11/4/22,11/5/22,11/6/22,11/7/22,11/8/22,11/9/22,11/10/22,11/11/22,11/12/22,11/13/22,11/14/22,11/15/22,11/16/22,11/17/22,11/18/22,11/19/22,11/20/22,11/21/22,11/22/22,11/23/22,11/24/22
Minutes of Observation,11180,300,180,300,300,No Count,300,290,300,210,180,270,60,270,120,180,120,270,270,No Count,270,No Count,270,270,No Count,270,270,270,270,180,270,240,No Count,No Count,No Count,210,180,No Count,270,No Count,210,270,90,No Count,No Count,180,270,240,No Count,240,No Count,240,150,No Count,240,180,No Count,240,240,180,240,No Count,180,180,No Count,150,150,150,,,,,,
Time(s) of Observation,,5:38-10:38,"5:40-6:40, 9:40-11:40",5:40-10:40,5:40-10:40,,5:45-10:45,5:50-10:50,5:47-10:47,6:00 -9:30,6:00-9:00,6:00-10:30,6:00-7:00,6:00-10:30,6:00-8:00,6:00-9:00,6:00-8:00,6:00-10:30,6:00-10:30,,6:00-10:30,,6:00-10:30,6:00-10:30,,6:00-10:30,6:00-10:30,6:00-10:30,6:00-10:30,6:00 - 9:00,6:00-10:30,6:00-10:00,,,,7:00-10:30,9:00 - Noon,,6:30-11:00,,6:30-10:00,6:30-11:00,6:30-8:00,,,7:00 -10:00,6:30-11:00,6:30-10:30,,6:30-10:30,,6:30-10:30,6:30-9:00,,6:30-10:30,5:30-8:30,,6:00-10:00,6:00-10:00,6:00-9:00,6:00-10:00,,6:00-9:00,6:00-9:00,,6:00-8:30,6:00-8:30,6:00-8:30,,,,,,
Principle Observer,,TG,TG,TG,TG,,TG,TG,TG,SB,TG,TG,SB,TG,TG,TG,SB,TG,TG,,TG,,TG,TG,,TG,TG,TG,TG,SB,TG,TG,,,,TG,SB,,TG,,TG,TG,TG,,,SB,TG,TG,,TG,,TG,SB,,TG,TG,,TG,TG,SB/KL,TG,,TG,TG,,TG,SB,TG,,,,,,
General Wind Dir/Velocity,,N/A,NE/1mph,WNW 10-20,WNW 8-15,,E/<1mph,S/<1mph,SW/20mph,WNW 0-8,N/17mph,SE/17mph,WNW 19-25,NE/8mph,N/10mph,N/7mph,W 2-5,SE/7mph,N/3mph,,S/17mph,,SE/6mph,S/7mph,,S/3mph,W/8mph,N/10mph,N/A,NW 2-4,E/3mph,N/9mph,,,,N/3mph,SE 10-25,,NNE/15mph,,NE/6mph,N/2mph,SW/5mph,,,SW 10-15,S/14mph,S/2mph,,NE/8mph,,S/3mph,E/NE/Var. 2-5,,NE/16mph,NNE/22mph,,SE/20mph,S/11mph,SW 18-25,NE/10mph,,W/4mph,ESE/26mph,,W/18mph,WnW 10-15,E/14mph,,,,,,
Visibility,,500 ft. off point,5 miles,10 miles +,10 miles +,,9 miles,10+ miles,2 miles,8 miles,7,10+ miles,10,10+ miles,2.5 miles,6 miles,FOG,10+ miles,10+ miles,,10+ miles,,10+ miles,10+ miles,,10 miles,10+ miles,10+ miles,10+ miles,10+ miles,7 miles,8mph,,,,7 miles,5 miles,,10+ miles,,10 miles,10 miles,7 miles,,,3 miles,9 miles,10+ miles,,8 miles,,10+ miles,10+,,9 miles,6 miles,,10+ miles,10+ miles,6 miles,9 miles,,10+ miles,10+ miles,,7 miles,10+ miles,10+ miles,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTLO,108,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,5,,1,,3,,,26,,7,6,,,2,14,3,,6,1,,,16,14,,,,,,
COLO,648,2,,3,14,,16,11,2,14,2,7,,18,7,3,,19,13,,12,,16,6,,5,6,10,29,49,21,28,,,,3,8,,6,,22,24,14,,,21,14,17,,30,,25,45,,20,17,,4,11,25,7,,4,1,,,11,6,,,,,,
