Date,,9-5-23,9-6-23,9-9-23,9-12-23,9/17/23,9/18/23,9/19/23,9/20/23,9/21/23,9/22/23,9/23/23,9/24/23,9/25/23,9/26/23,9/27/23,9/28/23,9/29/23,9/30/23,10/1/23,10/2/23,10/3/23,10/4/23,10/5/23,10/6/23,10/7/23,10/8/23,10/9/23,10/10/23,10/11/23,10/12/23,10/13/23,10/14/23,10/15/23,10/16/23,10/17/23,10/18/23,10/19/23,10/20/23,10/21/23,10/22/23,10/23/23,10/24/23,10/25/23,10/26/23,10/27/23,10/28/23,10/29/23,10/30/23,10/31/23,11/1/23,11/2/23,11/3/23,11/4/23,11/5/23,11/6/23,11/7/23,11/8/23,11/9/23,11/10/23,11/11/23,11/12/23,11/13/23,11/14/23,11/15/23,11/16/23,11/17/23,11/18/23,11/19/23,11/20/23,11/21/23,11/22 thru 26,11/27/23,11/28/23,11/29/23,11/30/23,12/1/23,12/2/23,12/3/23,12/4/23,12/5/23,12/6/23,12/7/23,12/8/23,12/9/23,12/10/23,12/11/23,12/12/23,12/13/23,12/14/23,12/15/23,12/18/23,12/19/23,12/20/23,12/21/23,12/22/23
,Running Season Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes of Observation,19645,75,60,30,180,300,225,235,205,270,180,300,300,305,240,180,180,360,240,210,245,180,180,180,240,270,110,300,245,300,300,0,420,210,180,505,150,300,180,210,180,420,240,180,210,270,180,255,255,180,180,,190,210,240,180,405,180,255,365,195,180,200,180,180,180,180,285,180,180,180,No Counts,345,180,150,180,180,215,185,180,180,180,125,120,180,120,310,190,185,120,120,240,155,120,120,90
Time(s) of Observation, ,7:45-9:00,8:30-9:30,7:30-8,"7-9,11-12","6-10,17:04-18:10",6-9:32,6:05-10:00,6:05-9:30,06:04-10:34,06:05-09:05,06:00-11:00,06:05-11:05,06:05-11:10,06:00 - 10:00,06:00-09:00,06:00-09:00,06:05-12:05,06:05-10:05,06:05-09:35,06:05-10:10,06:00-09:00,06:00-09:00,06:05-09:05,06:10-10:10,06:10-10:10/14:00-14:30,06:10-08:00,06:15-11:15,06:15-10:20,06:10-11:10,06:15-11:15,No Count,6-noon/3-4,6:00-9:30,6:30 -9:30,06:25-14:50,06:15-08:45,06:20-11:20,06:20-09:20,06:30-10:00,06:35-09:35,06:30-13:30,06:30-10:30,06:35-09:35,06:35-10:05,06:30-11:00,06:25-09:25,06:30-10:45,06:40-10:55,06:30-09:30,06:35-09:35,No Count,06:40-09:40,06:40-10:10,05:45--9:45,05:30-0830,05:45-12:30,05:40-08:40,05:40-09:55,05:40-11:45,5:45 - 10:00,05:40-08:40,05:40-09:00,05:45-08:45,05:45-08:45,05:45-08:45,05:45-08:45,06:10-08:55/13:20-15:20,05:45-08:45,05:50-08:50,05:50-08:50,,06:25-10:40/13:00-14:30,06:20-09:20,06:10-08:40,06:20-09:20,06:20-09:20,06:25-10:00,06:25-09:30,06:35-09:35,06:30-09:30,06:20-09:20,06:25-08:30,06:15-08:15,06:20-09:20,06:30-08:30,06:45-10:30/13:00-14:25,06:20-09:30,06:25-09:30,06:25-08:25,06:25-08:25,06:55-10:55,06:45-09:20,06:35-08:35,06:30-08:30,06:30-08:00
Principle Observer,,SB/BG,BG/SB,BG,BG,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND/SB,ND/BG,ND,ND,ND,ND,"ND, BG","SB, BG, ZK",ND,ND,ND,ND,"ND, BG",ND,"ND, SB",ND,ND,,SB,SB,SB,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,,ND,ND,ND,ND,ND,ND,ND,ND,SB,ND,ND,ND,ND,ND/BG,ND,ND,ND,ND,ND,,ND,ND,ND,ND,SB/ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
General Wind Dir/Velocity,,"N, 0-2","N, 0-5","SE, 3.4mph","E, 2.5-4",NW 10-15/WSW,SW 0-3/S 0-5,SE 2.5-6/SW 10-15,W 5-10,NW 1-5,NE/E 1-4,SW/S 0-7,W/N/E 0-5,NNE/NE 2-11,NNE 2-12,N 1-5,N 1-3,NW/NE 1-4,NE 1-4,NE/N 1-4,N 2-8,SW 3-12,NE 1-6,SE/S 1-6,N/NE 1-4,SE/E 2-14,S 6-12,S 6-13,S/SW 4-10,NW/N/NE 1-5,S/SE/NW/N 1-3,,NW 8-15/NW 3,WNW 2-8,NNE 3-8,NE 1-5,SW 1-7,SW 2-7,S 7-12,NE 1-6,W 2-7,N 1-5,N 1-4,SW 10-14,W 1-4,S 1-5,SW 1-6,N/NW 1-6,ENE/NE 2-10,NW 2-12,NE 1-6,,"SW 3-7, 9-18",SW 6-20,N/NW 1-5,NNE 1-6,S 5-16,NW 6-12,N 1-6,W 5-12,WNW 15-25,NW 1-6,NW 1-3,NE 1-6,NW 1-5,W 1-5,S 3-8,SW 4-8/N 1-8,W 3-7/WSW 2-8,NW 4-10,N 1-5,,SE 20-40/S 15-25/SW 10-15,W 2-10,NW 5-14,SW 2-8,SW 15-20/25,S 2-8,NE 2-10,NE 1-8,N 2-6,N 1-4,N 2-10,NW 2-10,N 1-4,SSE 6-12,"S 15-35, W 8-15",W 8-16,W 8-12,NW 10-16,SW 10-20,SE 15-35,SW 5-15,N 5-12,N 10-25,NNW 8-15
Visibility (miles),,3,3,0,1,10,10,"1/4, 10",10,10,10,10,10,10,10,10,6,3,"1/4, 3",5,10,10,10,1/4,"1/4, 3","5, 4",3,5,10,5,6,No Count,10+,10+,10+,8,10,8,8,"1/2, 10",3,10,10,7,5,8,8,10,"8, 2",10,10,,10,6,8,10,2-6,8,8,10,8,8,10,8,8,8,8,3/1/10,8,8,8,No Counts,1/10,8,8,8,8,1/2-5,5,1/2,2,8,6,4,8,"5, 1","1, 5",8,8,8,8,1.5,6,8,8,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCCO,28637,,49,1,8,258,88,2,31,395,152,280,102,495,367,14,13,42,63,122,330,189,258,,76,78,,18,100,467,93,,"2,460","1,318",808,4578,476,18,3,579,14,5386,846,51,85,236,278,762,624,318,483,,1973,41,555,542,25,244,376,1048,13,104,70,41,38,37,6,,58,19,18,,,,,1,2,,9,1,,,,,,,,,1,,,,,,1,
GRCO,841,,,,,2,15,,2,31,6,31,43,18,29,11,9,36,17,30,56,9,24,,29,21,,35,30,49,11,,21,23,17,10,27,2,,12,,15,20,,10,27,,9,4,10,5,,1,,15,2,,1,5,3,3,7,17,5,4,,,,1,1,2,,,2,,,1,,,,,1,,,1,,,4,,,,,,4,5,
CO sp.,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
