"date","year","tsm","total.obs.mins","obs.hours","wind.dir","visibility","observer","count"
2016-08-27,2016,6.5,300,5,NA,NA,"SB",15
2016-08-28,2016,6.5,300,5,NA,NA,"SB",244
2016-08-31,2016,6.5,240,4,NA,NA,"SB",25
2016-09-01,2016,6.5,300,5,NA,NA,"SB",15
2016-09-02,2016,6.5,300,5,NA,NA,"SB",62
2016-09-03,2016,6.5,300,5,NA,NA,"SB",80
2016-09-04,2016,6.5,300,5,NA,NA,"SB",56
2016-09-07,2016,15.5,120,2,NA,NA,"SB",0
2016-09-09,2016,15.5,120,2,NA,NA,"SB",4
2016-09-10,2016,6.5,300,5,NA,NA,"SB",24
2016-09-11,2016,7.08333333333333,265,4.41666666666667,NA,NA,"SB",2
2016-09-12,2016,6.08333333333333,90,1.5,"W",NA,"SB",59
2016-09-13,2016,6,90,1.5,"SW",NA,"SB",41
2016-09-14,2016,6.25,315,5.25,"SW",NA,"SB",23
2016-09-15,2016,6.5,315,5.25,"W",NA,"SB",72
2016-09-16,2016,6.25,330,5.5,"SW",NA,"SB",223
2016-09-17,2016,6.5,315,5.25,"SSW",NA,"SB",117
2016-09-18,2016,6.5,300,5,"SW",NA,"SB",40
2016-09-19,2016,15.5,120,2,"NNE",NA,"SB",0
2016-09-21,2016,8.5,240,4,"WSW",NA,"SB",37
2016-09-22,2016,6.5,300,5,"WSW",NA,"SB",211
2016-09-23,2016,6.5,330,5.5,"WSW",NA,"SB",123
2016-09-24,2016,6.5,300,5,"W",NA,"SB",228
2016-09-25,2016,6.5,305,5.08333333333333,"WNW",NA,"SB",106
2016-09-26,2016,15.5,120,2,"W",NA,"SB",22
2016-09-28,2016,6.16666666666667,280,4.66666666666667,NA,NA,"SB",493
2016-09-29,2016,6.5,300,5,"NE",NA,"SB",390
2016-09-30,2016,6.5,300,5,"ENE",NA,"SB",155
2016-10-01,2016,6.5,300,5,"NE",NA,"SB",135
2016-10-02,2016,6.5,300,5,"NE",NA,"SB",100
2016-10-03,2016,15.5,120,2,"SE",NA,"SB",174
2016-10-04,2016,15.5,135,2.25,"ESE",NA,"SB",81
2016-10-05,2016,6.5,300,5,NA,NA,"SB",246
2016-10-06,2016,6.5,300,5,"S",NA,"SB",134
2016-10-07,2016,0,300,5,"S",NA,"SB",218
2016-10-08,2016,15.5,125,2.08333333333333,"S",NA,"SB",261
2016-10-09,2016,6.5,305,5.08333333333333,"NNW",NA,"SB",282
2016-10-10,2016,6.5,195,3.25,"NNW",NA,"SB",84
2016-10-11,2016,15.5,120,2,"N",NA,"SB",17
2016-10-12,2016,6.5,355,5.91666666666667,"SSE",NA,"SB",1583
2016-10-13,2016,6.5,305,5.08333333333333,"S",NA,"SB",795
2016-10-14,2016,6.5,300,5,"NNW",NA,"SB",182
2016-10-15,2016,6.5,300,5,NA,NA,"SB",616
2016-10-16,2016,0,300,5,"SW",NA,"SB",594
2016-10-17,2016,6.66666666666667,280,4.66666666666667,NA,NA,"SB",305
2016-10-18,2016,6.66666666666667,280,4.66666666666667,"ESE",NA,"SB",702
2016-10-19,2016,15.75,105,1.75,"W",NA,"SB",102
2016-10-24,2016,6.5,300,5,"WNW",NA,"SB",169
2016-10-25,2016,6.83333333333333,160,2.66666666666667,"WNW",NA,"SB",84
