"","cond((Int))","disp((Int))","cond(scale(doy))","cond(I(scale(doy)^2))","cond(scale(obs.hours))","cond(scale(pressure))","cond(scale(tsm))","cond(scale(wind.dir.cos))","cond(scale(wind.dir.sin))","cond(scale(wind.speed))","cond(scale(year))","df","logLik","AICc","delta","weight"
"1",-0.86571085238358,"+",0.944324355242257,NA,0.368349816643916,NA,-0.698581657609008,NA,NA,NA,-0.378283737532851,7,-898.172013825122,1810.5325798388,0,0.116897031533806
"2",-0.885034687625382,"+",0.954410282653637,NA,0.368156730600266,NA,-0.703826209297231,NA,-0.096605807008543,NA,-0.387578724160753,8,-897.458472490577,1811.15977803343,0.627198194634047,0.0854297480216417
"3",-0.863446697931095,"+",0.956922872129375,NA,0.373218984833916,0.0948239593912292,-0.676528141876044,NA,NA,NA,-0.36205301821427,8,-897.555775444996,1811.35438394227,0.821804103471095,0.0775087957300608
"4",-0.883743228414606,"+",0.966794141482255,NA,0.372894011001628,0.0959597112691599,-0.681016581593508,NA,-0.0973167352010245,NA,-0.37247767833492,9,-896.826136349484,1811.95632675302,1.42374691422492,0.0573641771957568
"5",-0.870160159460224,"+",0.951593563328044,NA,0.370171976091739,NA,-0.699388911634832,0.0406966470131563,NA,NA,-0.380289836036351,8,-898.051844781978,1812.34652261623,1.8139427774363,0.0471966108613214
"6",-0.876990551560939,"+",0.935191899335988,0.0200138348004308,0.374581113907335,NA,-0.679616086537002,NA,NA,NA,-0.375784254549375,8,-898.127539821127,1812.49791269453,1.965332855734,0.0437559256508102
"7",-0.865085221960676,"+",0.954528959568638,NA,0.366493046304919,NA,-0.702115925777566,NA,NA,-0.0202523037425991,-0.3768414028653,8,-898.147429880332,1812.53769281294,2.00511297414323,0.0428942158372186
"8",-0.889576535760099,"+",0.961733385862115,NA,0.370252233979172,NA,-0.704482816810853,0.0416231154696767,-0.0970566767629791,NA,-0.38940236207161,9,-897.332493933923,1812.9690419219,2.43646208310338,0.0345726336242746
"9",-0.898649635889778,"+",0.943547828563582,0.0237453248719484,0.375544163719481,NA,-0.681297634393845,NA,-0.0978827111734034,NA,-0.384644371223631,9,-897.395316088499,1813.09468623105,2.56210639225583,0.0324675223966106
"10",-0.884702299802206,"+",0.957377248104095,NA,0.367557282476257,NA,-0.704882432867929,NA,-0.0959023981010373,-0.00603347320639498,-0.387131750533249,9,-897.45629885688,1813.21665176781,2.68407192901736,0.030546725973695
"11",-0.866850855867477,"+",0.961875936993244,NA,0.374247936265634,0.0914234948679088,-0.677948387516056,0.0307647683807687,NA,NA,-0.364328179426135,9,-897.48781530869,1813.27968467143,2.74710483263721,0.0295990142564189
"12",-0.871917610093425,"+",0.950019872477074,0.0148796862786993,0.377668740572033,0.0934037918339144,-0.66324128995404,NA,NA,NA,-0.360490950326919,9,-897.531232943924,1813.3665199419,2.83394010310622,0.0283413940542425
"13",-0.863713420170393,"+",0.952002874471215,NA,0.374255641987362,0.0977047512840704,-0.674055325207933,NA,NA,0.0104237945748137,-0.362292345635978,9,-897.549729224609,1813.40351250327,2.8709326644755,0.02782200189387
"14",-0.887318148375173,"+",0.971889288176758,NA,0.374139098887573,0.0925710238834869,-0.682361750712337,0.0319573115475996,-0.0977576093130973,NA,-0.374636162934368,10,-896.752592008614,1813.87743444024,3.34485460144288,0.0219521739193859
"15",-0.88515804420308,"+",0.954248282021206,NA,0.375824843727421,0.103656675043732,-0.674375218861795,NA,-0.10064320552099,0.0272601646556158,-0.373310522872302,10,-896.78517644329,1813.94260330959,3.4100234707962,0.0212484029987857
"16",-0.894432992064399,"+",0.958229677435457,0.0184480257753164,0.378424018333622,0.0941526494058544,-0.664545201348143,NA,-0.0982548091221635,NA,-0.370572870922322,10,-896.788085397259,1813.94842121753,3.41584137873383,0.0211866821875743
"17",-0.881404120652132,"+",0.942422727826784,0.0200349400688076,0.376427630316634,NA,-0.68033598343127,0.0406831813048031,NA,NA,-0.377800741583977,9,-898.007210930637,1814.31847591533,3.78589607653157,0.0176078607645181
"18",-0.869568754516735,"+",0.963013036750625,NA,0.368197635469044,NA,-0.70332454238548,0.0415899358501947,NA,-0.0222987032823968,-0.3787979422099,9,-898.022234900544,1814.34852385514,3.81594401634516,0.0173452980998334
"19",-0.876609126437023,"+",0.94560945210195,0.0205329643673242,0.372782860759712,NA,-0.68275411771383,NA,NA,-0.0211615163586742,-0.37422700261328,9,-898.10062919176,1814.50531243757,3.97273259877716,0.0160374590341149
