"","cond((Int))","disp((Int))","cond(scale(doy))","cond(I(scale(doy)^2))","cond(scale(obs.hours))","cond(scale(pressure))","cond(scale(tsm))","cond(scale(wind.dir.cos))","cond(scale(wind.dir.sin))","cond(scale(wind.speed))","cond(scale(year))","df","logLik","AICc","delta","weight"
"1",2.36792281357381,"+",1.32114877418204,-0.589796837843217,0.958948686853423,0.17559832718884,NA,-0.12045578713343,NA,0.381880979583304,NA,9,-1678.48154694301,3375.26714794008,0,0.12123678173851
"2",2.37743540376273,"+",1.30540090648605,-0.589315060318887,0.950263675729691,0.162588476789314,NA,NA,NA,0.384693480590598,NA,8,-1679.58273643735,3375.40830592697,0.141157986893177,0.112974995316205
"3",2.35464573875914,"+",1.31546504799055,-0.566515752719835,0.975578178444924,NA,NA,NA,NA,0.327030873872147,NA,7,-1681.14724167692,3376.48303554239,1.21588760231771,0.0660097003433813
"4",2.36042857493576,"+",1.31971222434088,-0.578630077504779,1.00134382357112,0.195790376985053,0.121713601071905,-0.122658311098663,NA,0.389159158570685,NA,10,-1678.06266172696,3376.49757387692,1.23042593684659,0.0655316045748095
"5",2.37036471849881,"+",1.30361540189152,-0.578646596921279,0.990994016312319,0.181465028703581,0.114808385832156,NA,NA,0.391693429392114,NA,9,-1679.21264856475,3376.72935118356,1.46220324347951,0.0583607681330082
"6",2.34430699895352,"+",1.33024839964525,-0.564409251329001,0.984814812310345,NA,NA,-0.104592198875542,NA,0.320070725788492,NA,8,-1680.30818875266,3376.85921055761,1.59206261752979,0.054691822364693
"7",2.35986021696241,"+",1.32063180693653,-0.58884698045184,0.945844673954573,0.175820055656734,NA,-0.119522858080096,NA,0.383622925249279,-0.0562336958184539,10,-1678.39805495153,3377.16836032607,1.90121238598977,0.046858822948317
"8",2.36990159878302,"+",1.32299287112441,-0.590518101879949,0.957322892617246,0.175039373331874,NA,-0.120308396048944,0.0228716965885765,0.38251036439025,NA,10,-1678.44339568954,3377.25904180209,1.99189386200896,0.0447816553282271
"9",2.36873870014499,"+",1.30526528321665,-0.588400636076321,0.935825967147811,0.163651547865927,NA,NA,NA,0.386449527186652,-0.0611470605353141,9,-1679.48397306386,3377.27200018177,2.00485224169279,0.0444924444198634
"10",2.37976010835257,"+",1.30746686333177,-0.590119545939422,0.948283371476427,0.16207260628942,NA,NA,0.0238084886813712,0.385078074282,NA,9,-1679.54146096628,3377.38697598661,2.11982804653599,0.0420067989110635
"11",2.34995095135615,"+",1.31399905738133,-0.560203415812411,0.995528302032332,NA,0.0555724811190279,NA,NA,0.328431891072567,NA,8,-1681.057403248,3378.35763954827,3.09049160819814,0.0258548887549131
"12",2.34793470987017,"+",1.31520556635472,-0.565776418311771,0.963212451430866,NA,NA,NA,NA,0.32776016655715,-0.0497241043319641,8,-1681.0812880621,3378.40540917647,3.13826123639046,0.0252446660810176
"13",2.35739586779464,"+",1.31789314448368,-0.567344907887913,0.973749032375893,NA,NA,NA,0.025615191165214,0.327346542872359,NA,8,-1681.09962279371,3378.4420786397,3.17493069962302,0.0247860292433097
"14",2.36282175456296,"+",1.3222727197165,-0.579127585413171,1.00063131283085,0.195659007662488,0.125501487349948,-0.122587684526102,0.0292419707517967,0.389974216737285,NA,11,-1678.00051057635,3378.44847877981,3.18133083973726,0.0247068389880543
"15",2.35722562177718,"+",1.31958193484737,-0.578755842092255,0.993261611782395,0.194814823189922,0.115415744754312,-0.122124040997973,NA,0.389480685503979,-0.0250302326712744,11,-1678.04707835217,3378.54161433145,3.27446639137361,0.0235826745124797
"16",2.37301240789525,"+",1.30630849120806,-0.579198283834651,0.989862524552773,0.181400793089083,0.118561785316664,NA,0.0296163831267376,0.392162202219175,NA,10,-1679.14900518142,3378.67026078584,3.40311284576774,0.0221135177493641
"17",2.33952067200142,"+",1.32878198109543,-0.557890066848747,1.00507031989857,NA,0.0576690688169114,-0.104838716297,NA,0.321571967513355,NA,9,-1680.21119925946,3378.72645257297,3.45930463289096,0.021500865515103
"18",2.36614066605054,"+",1.30369163024362,-0.578864623648945,0.980308893352516,0.18065965425248,0.106657129124739,NA,NA,0.392027246283391,-0.0325653217720346,10,-1679.18622541121,3378.74470124543,3.4775533053571,0.0213055766841905
"19",2.33787130437289,"+",1.32972660106878,-0.563688523228891,0.972752108935286,NA,NA,-0.104358579691668,NA,0.321095993860199,-0.0486938600524263,9,-1680.24501540378,3378.79408486161,3.52693692153025,0.0207859451947462
"20",2.34689000034436,"+",1.33256937158367,-0.565191129060917,0.983338937011787,NA,NA,-0.104489160832228,0.0250897780204968,0.32063641286067,NA,9,-1680.26242746666,3378.82890898738,3.56176104730048,0.0204271517418399
"21",2.36196576184118,"+",1.32243623395798,-0.589548110656241,0.944412534248338,0.175269580376082,NA,-0.119427222502429,0.0221872218680405,0.384263002930869,-0.0554083485927089,11,-1678.36215673298,3379.17177109308,3.90462315300601,0.0172090245744603
"22",2.37110369764534,"+",1.30721990952576,-0.589164513330138,0.934123048353265,0.163110812613867,NA,NA,0.0228765810386159,0.386845744103246,-0.0600953545535857,10,-1679.44588453914,3379.26401950128,3.99687156120626,0.0164332993870576
