"","cond((Int))","disp((Int))","cond(scale(doy))","cond(I(scale(doy)^2))","cond(scale(obs.hours))","cond(scale(pressure))","cond(scale(tsm))","cond(scale(wind.dir.cos))","cond(scale(wind.dir.sin))","cond(scale(wind.speed))","cond(scale(year))","df","logLik","AICc","delta","weight"
"1",5.6771462334034,"+",-0.213375201465259,-0.783834872517915,0.735760596132675,0.252230657716895,NA,-0.136141039690451,NA,NA,0.249579845031907,11,-3533.02996511898,7088.50738786508,0,0.191174741303403
"2",5.61210388995715,"+",-0.203059766979151,-0.788932693595229,0.72879203759992,0.251212724908704,NA,-0.128814075426177,NA,NA,NA,10,-3534.65069979946,7089.67365002192,1.16626215683846,0.106703803817149
"3",5.67706133843357,"+",-0.229257560806331,-0.784510028934496,0.734865370098035,0.262842614361539,NA,-0.134570232121958,NA,0.0391650838893296,0.247324863287711,12,-3532.90879655693,7090.34730448908,1.83991662399512,0.0761899507244598
"4",5.67806257179289,"+",-0.213331991105724,-0.785092865990091,0.732203480685825,0.252543970779992,-0.0068823029929431,-0.136160103852259,NA,NA,0.2454082844316,12,-3533.02535474391,7090.58042086304,2.07303299795421,0.0678074036091415
"5",5.67635651944069,"+",-0.213524003229532,-0.783671297726557,0.735063514245764,0.252009372334716,NA,-0.136050914044111,-0.00450727912828836,NA,0.249383831608234,12,-3533.02749164064,7090.58469465649,2.07730679140877,0.067662660895478
"6",5.61395187330213,"+",-0.219168176643698,-0.789550624419567,0.728422196160228,0.261847390514095,NA,-0.12736067767941,NA,0.0406018924514278,NA,11,-3534.52324279877,7091.49394322466,2.98655535957914,0.0429445696386734
"7",5.60214957051982,"+",-0.184185423030356,-0.800482468873855,0.749310536578955,0.26190292644123,NA,NA,NA,NA,NA,9,-3536.61470533132,7091.53346471669,3.02607685160365,0.0421042825980896
"8",5.62421592767112,"+",-0.202651639695617,-0.79243876882864,0.716637800554901,0.251539061651224,-0.0234546430549828,-0.129597491828229,NA,NA,NA,11,-3534.60257481546,7091.65260725805,3.14521939296446,0.0396693238198342
"9",5.6112865072538,"+",-0.203229819008374,-0.788724343224277,0.72794943832507,0.250931346984261,NA,-0.128723955721217,-0.00535959746780335,NA,NA,11,-3534.64721532543,7091.74188827797,3.23450041288834,0.0379374093474231
"10",5.67824892795572,"+",-0.229410397091563,-0.786126542262846,0.730349471452836,0.263367651651792,-0.00874688646140047,-0.134555913703753,NA,0.0396835074192098,0.241992768781811,13,-3532.9013832612,7092.42181414144,3.91442627635752,0.0270037230586139
"11",5.67659273781898,"+",-0.229267816152168,-0.784411119051284,0.734472578884831,0.262666607915797,NA,-0.134520164010314,-0.00262048372330149,0.0389714080920087,0.247238260375072,13,-3532.90796344184,7092.43497450273,3.92758663764289,0.0268266170167764
"12",5.67729055029978,"+",-0.213471848547063,-0.784900816028563,0.73165779407495,0.25232671953163,-0.0066697136306744,-0.136075012234696,-0.00424073426530695,NA,0.245347570250839,13,-3533.02317028222,7092.66538818348,4.1580003183999,0.0239073926387173
"13",5.67909574626679,"+",-0.191410799709533,-0.796054096264797,0.756671271096162,0.26199948099942,NA,NA,-0.00670396429371409,NA,0.254443158089532,11,-3535.24284977507,7092.93315717727,4.42576931218264,0.0209115832857839
"14",5.60435331626131,"+",-0.204105836545233,-0.801294901687212,0.748929194675914,0.27507460716033,NA,NA,NA,0.048953736810823,NA,10,-3536.43429319412,7093.24083681126,4.73344894617185,0.0179297870831202
"15",5.61621881260109,"+",NA,-0.722597269064071,0.777530014825406,0.257362197544924,NA,-0.111487339789285,NA,NA,NA,9,-3537.49322168637,7093.2904974268,4.78310956171845,0.0174900667392919
"16",5.62748401706997,"+",-0.219443801881859,-0.793489909268982,0.714846168914045,0.262638601886053,-0.0260427420351913,-0.128119148056988,NA,0.0423884733293996,NA,12,-3534.46432516539,7093.45836170598,4.95097384090059,0.0160820053257242
"17",5.61148341367852,"+",-0.183663863460345,-0.803294061089243,0.740453335456398,0.262283819627993,-0.0174960100494702,NA,NA,NA,NA,10,-3536.58796594425,7093.54818231152,5.04079444643139,0.0153757356933389
"18",5.61337337765814,"+",-0.219178318118343,-0.789410933149295,0.727889725639254,0.261600805962536,NA,-0.127309068882661,-0.00339213803776186,0.0403358742062525,NA,12,-3534.52185310644,7093.5734175881,5.06602972301698,0.0151829490357379
"19",5.60108505134108,"+",-0.184445121337462,-0.800208978553816,0.748101406460734,0.261576098169951,NA,NA,-0.00712742563547772,NA,NA,10,-3536.60859214655,7093.5894347161,5.0820468510201,0.0150618410146144
"20",5.6233615046364,"+",-0.202804598804833,-0.792234084336065,0.716011171273791,0.251301055112181,-0.0232533013296257,-0.129513072299106,-0.0046291239803492,NA,NA,12,-3534.59997915475,7093.72966968471,5.2222818196251,0.0140419176766174
"21",5.61062584917158,"+",NA,-0.739167722887659,0.793543284606337,0.266532088668115,NA,NA,NA,NA,NA,8,-3538.99468404575,7094.23220114377,5.72481327868445,0.0109220234022076
"22",5.67782975069582,"+",-0.229415653801524,-0.786019202925075,0.730078701784927,0.263209814022146,-0.00862436186445343,-0.134514049780647,-0.00224679129774747,0.0395093775465031,0.241992242636558,14,-3532.90077250767,7094.51704757071,6.00965970562356,0.00947217006923449
"23",5.68147754025063,"+",-0.211581417739001,-0.798950582358539,0.751771349452464,0.276535049999033,-0.00914016489015797,NA,NA,0.0493102271771829,0.246232311473719,12,-3535.05788375185,7094.64547887892,6.13809101383777,0.00888302701351337
"24",5.65070043179429,"+",NA,-0.716264259774321,0.786443688654764,0.249614081540792,NA,-0.118199988495809,NA,-0.0339147226553657,0.211251821745362,11,-3536.11329082562,7094.67403927837,6.16665141328303,0.00875707704928648
"25",5.64988582822951,"+",NA,-0.71322485189463,0.784099645576662,0.259092377871702,-0.008060396894397,-0.115870158383932,NA,NA,0.201500798480355,11,-3536.20861582767,7094.86468928245,6.35730141736803,0.00796086113706063
"26",5.61465269917556,"+",NA,-0.726198568994609,0.77573701126384,0.249923170401094,NA,-0.113164532998649,NA,-0.0284578422552432,NA,10,-3537.42323462252,7095.21871966805,6.71133180296692,0.00666934720119996
"27",5.61565797418095,"+",-0.204158150767586,-0.804705354139865,0.738254897058272,0.275943344983835,-0.0209535673740315,NA,NA,0.050603123087625,NA,11,-3536.39632209789,7095.2401018229,6.73271395782012,0.00659842448952043
"28",5.60353946159326,"+",-0.204168955202629,-0.801095423459607,0.748085092672325,0.274758688674792,NA,NA,-0.00512846782712491,0.0486190702444967,NA,11,-3536.43113548864,7095.30972860439,6.80234073930933,0.00637266351288976
"29",5.61609118391405,"+",NA,-0.722542035692603,0.777365554092327,0.257306088103613,NA,-0.111464410030421,-0.00121468072153475,NA,NA,10,-3537.4930417309,7095.3583338848,6.85094601971832,0.00621965771738506
"30",5.62703164375896,"+",-0.219450769950871,-0.793374032512803,0.714534550630464,0.262463083159161,-0.0259211724445174,-0.128075212080047,-0.00246428955781419,0.042194112959489,NA,13,-3534.46359375175,7095.54623512256,7.03884725747139,0.0056619267925762
"31",5.61035493595627,"+",-0.183909381033888,-0.802987341989065,0.739500458064453,0.261976784724081,-0.0171881433875543,NA,-0.00653633169943033,NA,NA,11,-3536.58283181822,7095.61312126356,7.10573339847542,0.00547570583210448
"32",5.65750735792475,"+",NA,-0.733091297798392,0.803154404498256,0.26093355043862,NA,NA,NA,-0.0225954093810648,0.216463600724088,10,-3537.81384735103,7095.99994512508,7.49255725999228,0.00451276142609073
"33",5.6094548425477,"+",NA,-0.741613370843591,0.792226226078727,0.261464354203034,NA,NA,NA,-0.0188955049899165,NA,9,-3538.96419107127,7096.23243619659,7.72504833150742,0.00401751567371834
"34",5.61023099257639,"+",NA,-0.739028377755636,0.793127165278157,0.266421937037152,NA,NA,-0.00287743406593455,NA,NA,9,-3538.99368833217,7096.29143071839,7.78404285330726,0.00390074070352516
"35",5.68070203090133,"+",-0.211632346369575,-0.79874098682719,0.751190840062417,0.276267136139514,-0.00890764292064947,NA,-0.00429361562087278,0.049013521816365,0.246253490648515,13,-3535.05567436132,7096.73039634168,8.22300847659881,0.00313203717489579
"36",5.65156495110551,"+",NA,-0.717405533481001,0.783039091505895,0.250009489489664,-0.00648636223545428,-0.118179854748456,NA,-0.0335693759091375,0.2073350522581,12,-3536.10897977736,7096.74767092994,8.24028306485161,0.00310510134241252
"37",5.65038246298499,"+",NA,-0.716193071698495,0.786161423132818,0.249478969325609,NA,-0.118172725718441,-0.00203959579732865,-0.0340897267098988,0.211191177338451,12,-3536.11278702951,7096.75528543422,8.24789756913924,0.00309330191462112
"38",5.64994901257968,"+",NA,-0.713245474007628,0.784141675446599,0.259108509699206,-0.00807533967975749,-0.115877680671357,0.000379036631059408,NA,0.201507529331351,12,-3536.20859822569,7096.94690782659,8.43951996150827,0.00281068409805866
