"","cond((Int))","disp((Int))","cond(scale(doy))","cond(I(scale(doy)^2))","cond(scale(obs.hours))","cond(scale(pressure))","cond(scale(tsm))","cond(scale(wind.dir.cos))","cond(scale(wind.dir.sin))","cond(scale(wind.speed))","cond(scale(year))","df","logLik","AICc","delta","weight"
"1",0.864870836104306,"+",-0.378607894314193,-0.260882479577741,0.612419181580804,0.13889684364466,NA,-0.146401948171238,NA,NA,0.618607369796862,9,-1118.22861829158,2254.76129063722,0,0.177758438229013
"2",0.864183038332502,"+",-0.353896185163684,-0.255480358798561,0.618171168938496,0.124529597726586,NA,-0.147274642336418,NA,-0.0571947239436705,0.617918385772527,10,-1118.03619094657,2256.44463231616,1.68334167893909,0.0766120749344162
"3",0.862718699583001,"+",-0.387528356097261,-0.251611938175467,0.617742616502299,NA,NA,-0.137684138270252,NA,NA,0.574740256762624,8,-1120.10547313029,2256.45377931286,1.69248867563738,0.0762624897591426
"4",0.860739554672014,"+",-0.378558528416464,-0.2649432210186,0.59127777440368,0.137260323313261,-0.0456458370012005,-0.145697533820617,NA,NA,0.596391803482616,10,-1118.112127445,2256.59650531301,1.83521467579112,0.07100982175964
"5",0.86219527393933,"+",-0.379788550108693,-0.261163253088508,0.610459678743215,0.138333866663988,NA,-0.146456197980713,-0.0201366911898196,NA,0.617376241425118,10,-1118.18813769727,2256.74852581754,1.98723518032284,0.0658123789022633
"6",0.85996227343425,"+",-0.389125294880187,-0.2532240622917,0.611417525052748,0.129190042705138,NA,NA,NA,NA,0.633220935106186,8,-1120.41365099835,2257.07013504897,2.30884441175249,0.0560365039229314
"7",0.86192754954327,"+",-0.340918831726969,-0.2437983476704,0.627209801474541,NA,NA,-0.140452479126516,NA,-0.104070467651925,0.582410982034916,9,-1119.4020891307,2257.10823231545,2.34694167823409,0.0549791873003441
"8",0.857662175578138,"+",-0.387543036721951,-0.25654149169661,0.592363768636269,NA,-0.0538584856833405,-0.137188280438369,NA,NA,0.549016346242507,9,-1119.94280965043,2258.18967335492,3.42838271770142,0.0320159488807419
"9",0.857793719992682,"+",-0.396913877906674,-0.244899672621296,0.617398309878613,NA,NA,NA,NA,NA,0.59315811862285,7,-1122.03524631174,2258.25904481204,3.49775417481851,0.0309244908031783
"10",0.859732624296874,"+",-0.353246828512344,-0.259549239503964,0.596331005919624,0.122476275625245,-0.047467997155086,-0.146527546737966,NA,-0.0586143100579777,0.594770082801573,11,-1117.91023589081,2258.26792940873,3.50663877150964,0.0307874196696942
"11",0.859430280960765,"+",-0.388896982937507,-0.252066785380415,0.615357773549695,NA,NA,-0.137791308117503,-0.0242563903753113,NA,0.57359542491117,9,-1120.04702554665,2258.39810514736,3.63681451013781,0.0288473543452077
"12",0.86240612727315,"+",-0.355886228636257,-0.25594728661595,0.616626678915818,0.124869160279007,NA,-0.147269981561573,-0.0131847819221378,-0.0542886171125923,0.617087749284543,11,-1118.01932744767,2258.48611252246,3.72482188523873,0.0276054881064558
"13",0.857792933245685,"+",-0.379816406243667,-0.265272589053639,0.588927203427098,0.136629567172373,-0.0463235539971348,-0.145759710551821,-0.0209781185959984,NA,0.594776855415674,11,-1118.06817490316,2258.58380743343,3.82251679621095,0.0262894348542842
