"","cond((Int))","disp((Int))","cond(scale(doy))","cond(I(scale(doy)^2))","cond(scale(obs.hours))","cond(scale(pressure))","cond(scale(tsm))","cond(scale(wind.dir.cos))","cond(scale(wind.dir.sin))","cond(scale(wind.speed))","cond(scale(year))","df","logLik","AICc","delta","weight"
"1",-0.261989738043986,"+",5.597541658031,-1.65982426274156,0.857731128906012,0.216419344080745,NA,-0.181710522039975,0.171053739524173,NA,0.223775249012296,10,-1099.52747610889,2219.42720264078,0,0.0830003309868795
"2",-0.274848250336404,"+",5.52177506620794,-1.63532150575483,0.825040306350167,0.190258412835396,NA,-0.173859229008081,0.159408524157217,NA,NA,9,-1100.63141815771,2219.56689036948,0.139687728694753,0.077401079787015
"3",-0.276873227351751,"+",5.51784780435072,-1.64218963076062,0.780204601206607,0.195926288453103,-0.175460674240627,-0.181110086720721,0.164901565800853,NA,NA,10,-1099.77314593338,2219.91854228977,0.491339648983285,0.06492123533836
"4",-0.267932755617116,"+",5.47204700628568,-1.62280408024276,0.795809386907368,0.197078583079775,NA,-0.180344499660301,NA,NA,NA,8,-1102.16830443223,2220.57944191674,1.15223927595844,0.0466524272770978
"5",-0.266135870914247,"+",5.57759465867297,-1.65908166151838,0.81912035469476,0.215037628529503,-0.120902898866602,-0.185315609130631,0.172610049803054,NA,0.177125339962757,11,-1099.16295759577,2220.77337281867,1.34617017788332,0.042341153396855
"6",-0.254536420705421,"+",5.53002843872121,-1.64216209224408,0.823260852407806,0.220885906900051,NA,-0.188268425782499,NA,NA,0.199670421975791,9,-1101.28553117523,2220.87511640451,1.44791376372905,0.0402410538159556
"7",-0.266885572389068,"+",5.55590565355041,-1.66098752469263,0.85211936449631,0.226863423999355,NA,-0.180130166494453,0.158399818483741,0.074350470570075,0.228356001075018,11,-1099.25813272957,2220.96372308625,1.53652044546925,0.0384971561698654
"8",-0.287299123893927,"+",5.51329917249469,-1.61811298831785,0.857058621506161,0.177730712102782,NA,NA,0.166524339681783,NA,NA,8,-1102.39663371957,2221.03610049141,1.60889785062773,0.0371289010454761
"9",-0.268926974103655,"+",5.46756510042057,-1.62885905223615,0.753291980177664,0.20298260621584,-0.162314913622168,-0.187172416206485,NA,NA,NA,9,-1101.40631983154,2221.11669371713,1.68949107634307,0.0356624764938276
"10",-0.275988553661703,"+",5.58268994165313,-1.64000966315698,0.888706883607728,0.201687267247998,NA,NA,0.178211924934494,NA,0.210123743388088,9,-1101.42606308649,2221.15618022703,1.7289775862464,0.0349652881583588
