"","cond((Int))","zi((Int))","disp((Int))","cond(scale(doy))","cond(I(scale(doy)^2))","cond(scale(obs.hours))","cond(scale(pressure))","cond(scale(tsm))","cond(scale(wind.dir.cos))","cond(scale(wind.dir.sin))","cond(scale(wind.speed))","cond(scale(year))","df","logLik","AICc","delta","weight"
"1",4.28958918398288,-2.75460625405241,"+",NA,-0.3583658995901,0.415701093487475,-0.233586404276179,-0.113883494238349,NA,NA,0.214370835013449,NA,9,-2933.44891261367,5885.20187928139,0,0.114652375381564
"2",4.27850932851211,-2.73967484661675,"+",NA,-0.353307543410892,0.395783089573631,-0.237586736749753,-0.130797493198244,NA,NA,0.219585771938483,-0.103678276314012,10,-2932.73626299449,5885.84477641199,0.642897130599522,0.0831341994009605
"3",4.28979924510543,-2.77893357259532,"+",NA,-0.344605530104947,0.470093795235017,-0.228610769119384,NA,NA,NA,0.210702495625241,NA,8,-2934.96567819583,5886.17418944394,0.972310162550457,0.0705096546873874
"4",4.28402654920063,-2.75352990577584,"+",NA,-0.358354361346842,0.41611690739494,-0.233672308893385,-0.115751020865506,NA,-0.0525384399346521,0.213775745783341,NA,10,-2932.97149656665,5886.31524355631,1.11336427491187,0.0657081252725997
"5",4.28682896451427,-2.75934049592022,"+",0.059132661627078,-0.353799588735823,0.431094358818856,-0.242231418320573,-0.113720760396233,NA,NA,0.193170419034842,NA,10,-2933.07041183187,5886.51307408676,1.3111948053629,0.0595196984981156
"6",4.27199334240983,-2.7389731972797,"+",NA,-0.353094013423646,0.396495183771958,-0.237703628971113,-0.132950852209574,NA,-0.0533397614700323,0.21886586610974,-0.105380334917026,11,-2932.24213665363,5886.93173093438,1.72985165298633,0.0482781414930734
"7",4.28921035775794,-2.75502646002286,"+",NA,-0.358282776420133,0.415714537524936,-0.233534261538284,-0.113727391830869,0.00337366925063905,NA,0.214404049533075,NA,10,-2933.44700957961,5887.26626958223,2.06439030083402,0.0408419433736977
"8",4.27729109039848,-2.74490420059545,"+",0.0517983620055676,-0.349832622473067,0.410338132800665,-0.244979349155329,-0.129547056696748,NA,NA,0.200824411651221,-0.0978719545338534,11,-2932.44615532376,5887.33976827464,2.13788899324663,0.0393682727208202
"9",4.28458658664937,-2.7777239548476,"+",NA,-0.344245408193032,0.471011747128587,-0.228180873047852,NA,NA,-0.0493013436412677,0.210058460625045,NA,9,-2934.54940849034,5887.40287103473,2.20099175333962,0.0381455402676955
"10",4.28780310439453,-2.78531093743834,"+",0.0565467617025229,-0.340758426959501,0.485091319985683,-0.236888969125593,NA,NA,NA,0.190153808535197,NA,9,-2934.62456323347,5887.553180521,2.35130123960789,0.0353838006919592
"11",4.28251994521266,-2.77140997407414,"+",NA,-0.340421211468438,0.462422373122732,-0.23062083955331,NA,NA,NA,0.213689630498387,-0.0671414034441798,9,-2934.64947016625,5887.60299438656,2.40111510516272,0.0345133834553787
"12",4.28111553586681,-2.75783194465969,"+",0.0564792375667839,-0.353715757968201,0.431063263284864,-0.241972591304424,-0.115357013839098,NA,-0.0508191615409956,0.193380829348914,NA,11,-2932.62645978087,5887.70037718886,2.49849790746157,0.0328731354949419
"13",4.27777225868309,-2.74019804612915,"+",NA,-0.353127706111294,0.395720424453109,-0.237517207027482,-0.130585170721269,0.00600503557599465,NA,0.219684584269852,-0.104059319490519,11,-2932.73021305268,5887.90788373248,2.70600445108994,0.0296334118096421
"14",4.28899214655875,-2.77939287858116,"+",NA,-0.344405732515276,0.470006268377465,-0.228508672014854,NA,0.00686735216040559,NA,0.210811116219643,NA,9,-2934.95781405376,5888.21968216157,3.01780288018017,0.0253556931720851
"15",4.28380195990381,-2.75380250688135,"+",NA,-0.358300567931102,0.416124313541605,-0.233641979344242,-0.115664779191764,0.00184017966862295,-0.0524936686684243,0.213801948684498,NA,11,-2932.97093039996,5888.38931842705,3.18743914565312,0.0232937516437378
"16",4.27058529490293,-2.74383220270817,"+",0.0491273262505378,-0.349570712487524,0.410439344072252,-0.244757847381426,-0.131566597406044,NA,-0.0519062853787373,0.200959982480537,-0.0999935365708883,12,-2931.98104676039,5888.491804896,3.28992561460382,0.022130171868283
"17",4.28649911136765,-2.75962056040337,"+",0.0591191509606759,-0.353733876647187,0.431106276993163,-0.242181402058671,-0.113573916993428,0.00309599856255452,NA,0.193223820889925,NA,11,-2933.06880293817,5888.58506350345,3.38318422206066,0.0211219464617751
"18",4.27686863463262,-2.77036778119122,"+",NA,-0.339938520696827,0.463630889954815,-0.230137057169742,NA,NA,-0.0493858509429552,0.212951317972124,-0.0676127430883601,10,-2934.23112174198,5888.83449390697,3.63261462557239,0.0186453617392676
"19",4.28244201335785,-2.78363377733026,"+",0.054289221277663,-0.340351172962453,0.485549749644122,-0.236192403403811,NA,NA,-0.0478366988843536,0.190195879689897,NA,10,-2934.23512830359,5888.84250703019,3.64062774879494,0.0185708074017003
"20",4.27141924753526,-2.73934843149808,"+",NA,-0.352949443616777,0.396435376758167,-0.237646262493162,-0.132801649883336,0.00459482749515186,-0.0532352562800171,0.218962681535735,-0.105696875667425,12,-2932.23857872843,5889.00686883207,3.80498955067742,0.0171056693979328
"21",4.28173687760623,-2.77824182105992,"+",0.0515760278797647,-0.33751498805504,0.476718998141415,-0.238026371593368,NA,NA,NA,0.194728895312027,-0.0611017928807918,10,-2934.36757782023,5889.10740606347,3.90552678207314,0.0162670458862903
"22",4.27664788922577,-2.74536100495487,"+",0.051717006239964,-0.34969285181861,0.410245229460415,-0.244903301623586,-0.129360960763055,0.0053992300732299,NA,0.20096364927264,-0.0981979451807107,12,-2932.44124684997,5889.41220507515,4.21032579375242,0.0139676205178398
"23",4.28392020786577,-2.77803458680273,"+",NA,-0.344084307214704,0.470946377923884,-0.228100165709993,NA,0.00533831730988066,-0.0491550241185247,0.210164168232602,NA,10,-2934.54462953467,5889.46150949236,4.25963021096595,0.013627497440733
"24",4.28703747155054,-2.78583569264177,"+",0.0565277364874271,-0.340573545273309,0.485004920570238,-0.236781183120449,NA,0.00661985910465502,NA,0.190267739280345,NA,10,-2934.61721246107,5889.60667534516,4.40479606376084,0.0126734175778859
"25",4.28139826878127,-2.771920389449,"+",NA,-0.340119837637479,0.462253291623151,-0.230493529394293,NA,0.00875992103010588,NA,0.213883485087727,-0.0677224219538297,10,-2934.63665196096,5889.64555434494,4.44367506354411,0.0124294318419479
"26",4.28095442035776,-2.75803623320055,"+",0.0564723641460027,-0.353680726052078,0.431060644945983,-0.241936444742351,-0.115284536912353,0.00166063343987058,-0.0507785696473065,0.193409218163754,NA,12,-2932.6259967041,5889.7817047834,4.57982550201086,0.0116114534414784
