"","cond((Int))","disp((Int))","cond(scale(doy))","cond(I(scale(doy)^2))","cond(scale(obs.hours))","cond(scale(pressure))","cond(scale(tsm))","cond(scale(wind.dir.cos))","cond(scale(wind.dir.sin))","cond(scale(wind.speed))","cond(scale(year))","df","logLik","AICc","delta","weight"
"1",-2.58350757345892,"+",2.03246000124366,NA,0.339130290458165,NA,-0.61938256543703,NA,NA,NA,NA,6,-327.595521889381,667.33222024935,0,0.0344163014129454
"2",-2.52871058666826,"+",2.06026842733004,NA,0.415944928869247,NA,NA,NA,NA,NA,NA,5,-328.747983331104,667.596637803148,0.264417553797671,0.0301541196863555
"3",-2.58609341024631,"+",2.38747894964768,-0.247766436149484,0.342450607341901,NA,-0.673471218335986,NA,NA,NA,NA,7,-326.772398964308,667.733350117168,0.401129867818327,0.0281617703402069
"4",-2.53243062350127,"+",2.399907085909,-0.234235862916962,0.420185574497147,NA,NA,NA,NA,NA,NA,6,-328.064579548325,668.270335567238,0.93811531788765,0.0215305460098268
"5",-2.5436329020194,"+",1.9459988444694,NA,NA,NA,-0.8196806912113,NA,NA,NA,NA,5,-329.211903045932,668.524477232803,1.19225698345292,0.018961333728658
"6",-2.59794236306258,"+",1.94784159016624,NA,0.325869736337216,NA,-0.64887944166494,NA,NA,0.145078453773985,NA,7,-327.186974717655,668.562501623862,1.23028137451229,0.0186042424451832
"7",-2.60200636190195,"+",2.03643363941891,NA,0.33221243852646,NA,-0.669627516486354,NA,-0.110357377824546,NA,NA,7,-327.255436123568,668.699424435689,1.367204186339,0.0173731904149701
"8",-2.59899514721472,"+",2.30160958509311,-0.249871757497937,0.326669072936514,NA,-0.706686211603422,NA,NA,0.148621968603249,NA,8,-326.339004376635,668.920841805547,1.58862155619681,0.0155524713043008
"9",-2.53664544594869,"+",1.98622211215546,NA,0.407049583389905,NA,NA,NA,NA,0.126888672987197,NA,6,-328.428590835608,668.998358141804,1.66613789245355,0.0149612179677822
"10",-2.53394743518679,"+",2.27715388646939,-0.237548874510924,NA,NA,-0.867064658912897,NA,NA,NA,NA,6,-328.429181050712,668.999538572011,1.66731832266112,0.0149523902363531
"11",-2.5893599281556,"+",2.03301862093821,NA,0.332692707675198,NA,-0.636168938599695,0.0871352616666158,NA,NA,NA,7,-327.431453646166,669.051459480884,1.71923923153338,0.0145692146172174
"12",-2.50853783599785,"+",2.04307970985282,NA,0.440233429779871,NA,NA,NA,NA,NA,0.152059735134123,6,-328.520074678873,669.181325828334,1.84910557898422,0.0136532493500615
"13",-2.58328868460376,"+",2.01994709279072,NA,0.332412763327953,-0.0551336466144941,-0.654308648530196,NA,NA,NA,NA,7,-327.513339952989,669.215232094531,1.88301184518093,0.0134237349873836
"14",-2.53779520101731,"+",2.06338176563376,NA,0.414490868923486,NA,NA,NA,-0.0857643991247996,NA,NA,6,-328.538031709176,669.217239888939,1.88501963958925,0.0134102656993819
"15",-2.60238632309947,"+",2.37459817943637,-0.235479771035209,0.335760262418754,NA,-0.713031378809438,NA,-0.0971938907984902,NA,NA,8,-326.507748583309,669.258330218895,1.92610996954477,0.0131375605566883
"16",-2.57075038634943,"+",2.02572108627601,NA,0.354522585048649,NA,-0.584414189201632,NA,NA,NA,0.0735411089246384,7,-327.546069092512,669.280690373577,1.94847012422667,0.0129914996212638
