"","cond((Int))","disp((Int))","cond(scale(doy))","cond(I(scale(doy)^2))","cond(scale(obs.hours))","cond(scale(pressure))","cond(scale(tsm))","cond(scale(wind.dir.cos))","cond(scale(wind.dir.sin))","cond(scale(wind.speed))","cond(scale(year))","df","logLik","AICc","delta","weight"
"1",-1.62119331976074,"+",1.49642581644201,-0.226945365739757,0.506242033323496,0.319683682240241,NA,NA,NA,NA,-0.613408822838446,8,-517.704652209754,1051.65213747178,0,0.132777749294768
"2",-1.61423775735208,"+",1.56205005383307,-0.221410693785682,0.528149744864048,0.275219407727966,NA,NA,NA,-0.137934049826463,-0.592888380913269,9,-517.003261522402,1052.31057709886,0.658439627074131,0.0955315786170604
"3",-1.64181973872242,"+",1.49137429181218,-0.221790199785132,0.505451359851861,0.316472703456839,NA,NA,-0.104349743880339,NA,-0.623513256646655,9,-517.144571254801,1052.59319656366,0.941059091872603,0.0829424610121562
"4",-1.61342009848532,"+",1.51287204320421,-0.215361270536154,0.584864547073668,0.331106308454551,0.106591386698692,NA,NA,NA,-0.569928691917,9,-517.297358542973,1052.89877114,1.24663366821619,0.0711905324525822
"5",-1.61606897732341,"+",1.50017448374011,-0.226552179469907,0.516728036016113,0.33299161871475,NA,-0.0747195819651937,NA,NA,-0.614418096824689,9,-517.384642823913,1053.07333970188,1.42120223009624,0.0652401813486658
"6",-1.63269185768589,"+",1.55063076629582,-0.217631832514902,0.525032392404676,0.276746971917408,NA,NA,-0.0909247458752607,-0.124073625183131,-0.603766787495261,10,-516.585312132975,1053.54287468896,1.89073721717773,0.0515889789752629
"7",-1.60676088238742,"+",1.57643092214192,-0.210814972938344,0.603215993775097,0.287191409084482,0.102875505278239,NA,NA,-0.135024905269745,-0.55128823904645,10,-516.623903851402,1053.62005812582,1.9679206540311,0.0496359984406877
"8",-1.60932477818495,"+",1.56463822938913,-0.221412200937607,0.538082502567915,0.288504533033184,NA,-0.071674721518389,NA,-0.135678518402128,-0.594322124079763,10,-516.708949678057,1053.79014977913,2.13801230734271,0.0455891850685396
"9",-1.63293425469921,"+",1.50691005116902,-0.211037596901332,0.579382652101447,0.327407236700715,0.100295729198895,NA,-0.0998955242728493,NA,-0.582035291802608,10,-516.784644410854,1053.94153924472,2.28940177293475,0.0422656959270484
"10",-1.63616721477974,"+",1.49518831711302,-0.221662559415306,0.514757545326213,0.328515760905677,NA,-0.0665827433086321,-0.0983399171352626,NA,-0.623822253945057,10,-516.890992999052,1054.15423642112,2.50209894933232,0.0380015594805752
"11",-1.60936919333432,"+",1.51449722093446,-0.21556680697434,0.588007727379577,0.3422224494962,0.0987442574257134,-0.0670255865635534,NA,NA,-0.574238211321612,10,-517.041148616905,1054.45454765682,2.80241018503853,0.0327031557706264
"12",-1.62416782092608,"+",1.56461507102386,-0.207671034253934,0.59634601522796,0.288122343750116,0.097572971266083,NA,-0.0866401503396094,-0.121809207918657,-0.563709998655302,11,-516.24491684464,1054.9372913164,3.28515384461525,0.0256899470551112
"13",-1.6271629318438,"+",1.55377191429425,-0.217805501497569,0.534070247202285,0.288722245945964,NA,-0.0648039502506151,-0.0851280828797288,-0.122796096888689,-0.604400611040575,11,-516.345368248798,1055.13819412472,3.48605665293144,0.0232347347393764
"14",-1.60283964969093,"+",1.57725146396087,-0.211288119361506,0.606296412073355,0.298270777052732,0.095427799637998,-0.0643250033966252,NA,-0.133235134979109,-0.555752744424352,11,-516.388068778948,1055.22359518501,3.57145771323007,0.0222634832958337
"15",-1.62844852985658,"+",1.50882678194975,-0.211406849586167,0.58230306657653,0.337441615429573,0.0935085855359228,-0.0594938719500187,-0.0947521985562325,NA,-0.585293755501609,11,-516.583162528898,1055.61378268491,3.9616452131304,0.0183174483244967
