"","cond((Int))","disp((Int))","cond(scale(doy))","cond(I(scale(doy)^2))","cond(scale(obs.hours))","cond(scale(pressure))","cond(scale(tsm))","cond(scale(wind.dir.cos))","cond(scale(wind.dir.sin))","cond(scale(wind.speed))","cond(scale(year))","df","logLik","AICc","delta","weight"
"1",2.34722243433144,"+",0.627264640395701,-0.676423974708311,0.72496994835304,0.114108930440051,NA,NA,NA,0.219927824990721,-0.185125201276958,9,-1697.90619953067,3414.11645311539,0,0.0994353669258654
"2",2.34944937598066,"+",0.649478069165182,-0.670952252397129,0.737708438469287,NA,NA,NA,NA,0.174344487698977,-0.190948412071596,8,-1699.04175338043,3414.32633981313,0.209886697748061,0.089529171040404
"3",2.36006876104479,"+",0.636216103074235,-0.67260066092271,0.751876971668614,0.118734680524533,NA,NA,NA,0.209201263390747,NA,8,-1699.29772206787,3414.83827718802,0.721824072633808,0.0693104589872845
"4",2.36240878702916,"+",0.659491770999418,-0.667337476218197,0.766424727729578,NA,NA,NA,NA,0.161516925819499,NA,7,-1700.49451697372,3415.17758613599,1.06113302060157,0.0584950037239128
"5",2.34905596702869,"+",0.645290464832765,-0.677868181641243,0.705510014125426,NA,-0.0693347014691527,NA,NA,0.174861261147643,-0.209276504684591,9,-1698.74415431876,3415.79236269158,1.67590957619268,0.0430151795575782
"6",2.34718921730122,"+",0.62500302667595,-0.681914173369398,0.699572237079415,0.10940011019474,-0.0562079763030369,NA,NA,0.218362629779054,-0.19985615904662,10,-1697.71316897219,3415.79858836739,1.68213525200827,0.0428814884633467
"7",2.3458093316933,"+",0.624127133611446,-0.67598447056888,0.719680899935117,0.115975413124395,NA,0.0328076962859892,NA,0.218644722220142,-0.189067594206434,10,-1697.77123189553,3415.91471421407,1.79826109868054,0.0404625682145637
"8",2.35065285369203,"+",0.628765235711193,-0.678492537932418,0.722800046332784,0.113112539881684,NA,NA,0.02389267684578,0.222636198492691,-0.184858121932125,10,-1697.83935804082,3416.05096650466,1.93451338927343,0.0377978098256191
"9",2.34821659882485,"+",0.647312718845751,-0.670430565910564,0.733722165340101,NA,NA,0.0279947353172914,NA,0.172577756430358,-0.194257549038837,9,-1698.94387696886,3416.19180799177,2.07535487638688,0.0352276193749923
"10",2.35340990636476,"+",0.650956707915211,-0.673330479505082,0.735180147199331,NA,NA,NA,0.0272713346498443,0.177763067431599,-0.190594908590392,9,-1698.95477712191,3416.21360829788,2.09715518249504,0.0348457181044637
"11",2.3592586147353,"+",0.633890065540604,-0.67216443764247,0.747847988279159,0.120221341776736,NA,0.0258826493056014,NA,0.2079995649198,NA,9,-1699.21431131732,3416.73267668869,2.61622357330498,0.0268803642843943
"12",2.36325564727783,"+",0.637859929571191,-0.674690277693983,0.749622177722804,0.11770644610202,NA,NA,0.024294127179306,0.211761719671092,NA,9,-1699.22869959808,3416.76145325022,2.64500013482984,0.0264963711809477
"13",2.3604863965859,"+",0.635451694708277,-0.674769575435373,0.742029224229291,0.116949720697596,-0.023832749425485,NA,NA,0.208204517690029,NA,9,-1699.26140510497,3416.82686426399,2.71041114860873,0.0256438116207153
