"species","year","doy","obs.hours","tsm","wind.speed","wind.dir.cos","wind.dir.sin","pressure"
"Common Eider",NA,"1.72 (1.06 to 2.38)","52.99 (33.49 to 72.49)",NA,"-5.34 (-11.63 to 0.96)",NA,NA,"0.03 (0.01 to 0.04)"
"Common Loon",NA,"0.22 (0.15 to 0.29)","7.99 (5.54 to 10.44)","-2.11 (-3.24 to -0.99)",NA,"-0.9 (-2.83 to 1.04)","-0.73 (-2.64 to 1.18)","0.01 (0 to 0.01)"
"Double-crested Cormorant","18.75 (-6.03 to 43.53)","-0.04 (-0.99 to 0.91)","142.28 (75.63 to 208.93)",NA,NA,"-91.62 (-157.19 to -26.04)",NA,"0.07 (0.02 to 0.12)"
"Northern Gannet",NA,"0.14 (-0.14 to 0.42)","21.51 (11.6 to 31.43)","-4.67 (-9.68 to 0.35)","6.83 (1.3 to 12.36)",NA,NA,"-0.02 (-0.03 to -0.01)"
"Surf Scoter",NA,"0.04 (-0.18 to 0.26)","17.6 (7.58 to 27.62)","-6.12 (-11.15 to -1.09)","6.66 (1.83 to 11.5)","9.26 (-1.34 to 19.87)",NA,"0.02 (0 to 0.03)"
"White-winged Scoter","-0.36 (-1.35 to 0.63)","0.16 (0.07 to 0.25)","6.26 (3.3 to 9.22)",NA,"1.56 (0.49 to 2.63)",NA,NA,"0 (0 to 0)"
"Black Scoter",NA,"0.67 (0.24 to 1.1)","16.47 (5.96 to 26.97)",NA,"5.35 (1.63 to 9.08)","3.12 (-2.15 to 8.4)",NA,"0.01 (0 to 0.01)"
"Great Cormorant","0.74 (0.19 to 1.3)","-0.04 (-0.06 to -0.01)","1.4 (0.43 to 2.37)",NA,NA,"-0.9 (-1.73 to -0.06)",NA,"0 (0 to 0)"
"Red-breasted Merganser","3.88 (1.59 to 6.17)","0.27 (0.12 to 0.41)","5.56 (2.49 to 8.64)",NA,"1.91 (0.72 to 3.11)","4.68 (1.62 to 7.73)",NA,"0 (0 to 0.01)"
"Red-throated Loon","1.95 (0.64 to 3.27)","0.29 (0.13 to 0.45)","3.68 (1.5 to 5.86)",NA,"0.35 (-0.13 to 0.83)",NA,NA,NA
"Long-tailed Duck","9.32 (0.85 to 17.79)","1.36 (0.33 to 2.4)","18.22 (3.36 to 33.09)",NA,NA,"26.42 (4.57 to 48.27)","35.34 (6.27 to 64.42)","0.02 (0 to 0.03)"
"Black Guillemot","-0.38 (-0.78 to 0.03)","0.09 (0 to 0.19)","0.68 (-0.14 to 1.49)","-1.07 (-2.3 to 0.16)",NA,NA,NA,NA
"Red-necked Grebe","-0.13 (-0.29 to 0.02)","0.03 (0 to 0.07)","0.31 (0 to 0.63)",NA,NA,NA,NA,"0 (0 to 0)"
"Razorbill",NA,"0.08 (0.01 to 0.14)","0.24 (-0.06 to 0.54)","-0.36 (-0.96 to 0.24)",NA,NA,NA,NA
"All seabirds",NA,"1.43 (0.04 to 2.82)","28.82 (0.68 to 56.95)",NA,NA,NA,NA,"0.01 (0 to 0.02)"
