"species","year.trend","lci","uci","SE","df","t.ratio","p.value"
"Alca torda",1.49644080426052,-0.985880477940895,3.97876208646193,1.26649045010276,97,1.18156501230554,0.240267061475443
"Cepphus grylle",3.12770623103629,0.682820073353714,5.57259238871886,1.24739089677682,97,2.5073986343159,0.0138235190986707
"Clangula hyemalis",2.43083573078064,-0.0139860132442271,4.8756574748055,1.24735803266575,97,1.94878749093848,0.0542100026507017
"Gavia immer",1.55487834089857,-0.889873415587562,3.99963009738471,1.24732232473782,97,1.24657300688128,0.215556034395923
"Gavia stellata",1.87357898270405,-0.571196519118986,4.31835448452708,1.24733443970563,97,1.50206626471904,0.136328517894768
"Melanitta americana",1.89361428330408,-0.551163342806984,4.33839190941514,1.24733552352605,97,1.51812743851877,0.13223489140243
"Melanitta deglandi",0.935351223685106,-1.50935659192965,3.38005903929986,1.2472999059259,97,0.749900821158785,0.455129446574553
"Melanitta perspicillata",0.970751460073508,-1.47395886671132,3.41546178685834,1.24730118713512,97,0.77828151699526,0.438297411299971
"Mergus serrator",1.1694990110537,-1.27522437043441,3.6142223925418,1.24730784769801,97,0.937618578454455,0.350769184169956
"Morus bassanus",0.132710790774027,-2.31194796939314,2.57736955094119,1.24727487763631,97,0.106400596334887,0.915484261220631
"Nannopterum auritum",1.24269424442182,-1.20203483742476,3.68742332626841,1.24731075604418,97,0.996298828018612,0.321583866237238
"Phalacrocorax carbo",-0.2015319433075,-2.64617319112712,2.24310930451212,1.24726594276511,97,-0.161578967562216,0.871973498630095
"Podiceps grisegena",2.57177018567675,0.126935063509645,5.01660530784386,1.24736485824852,97,2.06176257786184,0.0419048476617684
"Somateria mollissima",0.85518868878248,-1.58951367994182,3.29989105750678,1.24729712690015,97,0.685633495290604,0.494579656471032
