Scientific name,Common name
Cepphus grylle,Black Guillemot
Melanitta americana,Black Scoter
Somateria mollissima,Common Eider
Gavia immer,Common Loon
Nannopterum auritum,Double-crested Cormorant
Phalacrocorax carbo,Great Cormorant
Clangula hyemalis,Long-tailed Duck
Morus bassanus,Northern Gannet
Alca torda,Razorbill
Mergus serrator,Red-breasted Merganser
Podiceps grisegena,Red-necked Grebe
Gavia stellata,Red-throated Loon
Melanitta perspicillata,Surf Scoter
Melanitta deglandi,White-winged Scoter
Podiceps auritus,Horned Grebe
Uria aalge,Common Murre
Alle alle,Dovekie
Gavia pacifica,Pacific Loon
Uria lomvia,Thick-billed Murre
