"","species","date","hour.1.total","hour.2.total","hour.3.total","hour.4.total","hour.5.total","day.total","total.obs.mins","time.of.obs","start.time.am","start.time.pm","principle.observer","wind.dir.speed","wind.dir","wind.speed","visibility"
"1","ABDU",2012-10-16,"","","","","",1,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"2","AMWI",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"3","BLGU",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"4","BLKI",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"5","BLSC",2012-10-16,"","","","","",55,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"6","BLSK",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"7","BOGU",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"8","BRAN",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"9","BUFF",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"10","CANG",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"11","CATE",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"12","CO sp.",2012-10-16,"","","","","",5,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"13","COEI",2012-10-16,"","","","","",33,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"14","COGO",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"15","COLO",2012-10-16,"","","","","",6,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"16","COMU",2012-10-16,"","","","","",1,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"17","COTE",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"18","Calidris sp.",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"19","DCCO",2012-10-16,"","","","","",387,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"20","Duck sp.",2012-10-16,"","","","","",3,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"21","GBHE",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"22","GRCO",2012-10-16,"","","","","",1,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"23","GREG",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"24","GRSC",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"25","GWTE",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
"26","Great Shearwater",2012-10-16,"","","","","",0,225,"6:15-9:15am, 3:10 - 3:55pm ","","","STB/RZK","S 5-10, SSE 20","","","2mi - 5mi "
