"species","date","year","time.of.obs","total.obs.mins","obs.hours","day.total","count.p.hour","wind.dir.speed","visibility","principle.observer"
"ABDU",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"AMCR",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"ATSP",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"BAEA",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"BAOR",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"BLGU",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"BLKI",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"BLSC",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"BOGU",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"BOWA",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"BUFF",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"CATE",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"COEI",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"COGO",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"COGR",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"COLO",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"Calidris sp.",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"DCCO",2014-08-14,"2014","6:30-8:30",120,2,1,0.5,"ENE 20-30",NA,"KO"
"GBHE",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"GRCO",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"HADU",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"LAGU",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"LESC",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"LTDU",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"MERL",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"NOGA",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"NOPI",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"PAJA",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"PEFA",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"PISI",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"RBGU",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"RBME",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"RNGR",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"RTLO",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"RUTU",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"SNBU",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"SSHA",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"SUSC",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"SWSP",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"Scoter sp.",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"UNID",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"WHIM",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"WWSC",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"YBCH",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"YRWA",2014-08-14,"2014","6:30-8:30",120,2,0,0,"ENE 20-30",NA,"KO"
"ABDU",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"AMCR",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"ATSP",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"BAEA",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"BAOR",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"BLGU",2014-08-18,"2014","6:30-8:30",120,2,4,2,"Var 1-10",NA,"KO"
"BLKI",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"BLSC",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"BOGU",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"BOWA",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"BUFF",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"CATE",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"COEI",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"COGO",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"COGR",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"COLO",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"Calidris sp.",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"DCCO",2014-08-18,"2014","6:30-8:30",120,2,78,39,"Var 1-10",NA,"KO"
"GBHE",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"GRCO",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"HADU",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"LAGU",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"LESC",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"LTDU",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"MERL",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
"NOGA",2014-08-18,"2014","6:30-8:30",120,2,0,0,"Var 1-10",NA,"KO"
