species,grouping,total.ind
ABDU,Other ducks and geese,379
AMCR,Passerines,19
AMGO,Passerines,200
AMPI,Passerines,3
AMWI,Other ducks and geese,11
ATSP,Passerines,2
BAEA,Raptors,48
BAOR,Passerines,1
BBPL,Shorebirds,5
BLGU,Alcids,679
BLKI,Larids,160
BLSC,Scoters,16206
BLSK,Larids,5
BOGU,Larids,86
BOWA,Passerines,3
BRAN,Other ducks and geese,3
BUFF,Other ducks and geese,6
CANG,Other ducks and geese,1460
CATE,Larids,101
COEI,Common Eider,72770
COGO,Other ducks and geese,16
COGR,Passerines,43
COLO,Loons,9155
COMU,Alcids,10
CORA,Passerines,19
COTE,Larids,46
Calidris sp.,Shorebirds,20
Cormorant sp.,Cormorants,6480
DCCO,Cormorants,144417
Duck sp.,Other ducks and geese,8823
Falcon sp.,Raptors,7
GBHE,Other,71
GRCA,Passerines,1
GRCO,Cormorants,1075
GREG,Other,1
GRSC,Other ducks and geese,12
GRSH,Other,1
GWFG,Other ducks and geese,9
GWTE,Other ducks and geese,110
Grebe sp.,Grebes,2
HADU,Other ducks and geese,50
HAWO,Other,1
HOGR,Grebes,8
HOME,Other ducks and geese,2
ICGU/GLGU,Larids,10250
Jaeger sp.,Other,30
LAGU,Larids,585
LESC,Other ducks and geese,7
LTDU,Other ducks and geese,4546
Large alcid sp.,Alcids,155
Loon sp.,Loons,1053
MALL,Other ducks and geese,66
MALL/ABDU,Other ducks and geese,27
MERL,Raptors,46
Merganser sp.,Other ducks and geese,2
NOGA,Northern Gannet,37168
NOHA,Raptors,9
NOPI,Other ducks and geese,36
OSPR,Raptors,5
PAJA,Other,16
PAWA,Passerines,2
PEFA,Raptors,52
PISI,Passerines,229
POJA,Other,11
PUSA,Shorebirds,31
Peep sp.,Shorebirds,41
RAZO,Alcids,127
RBGU,Larids,1183
RBME,Other ducks and geese,3517
RNGR,Grebes,400
RNPH,Shorebirds,9
RTHU,Other,3
RTLO,Loons,2103
RUTU,Shorebirds,2
SAND,Shorebirds,31
SEPL,Shorebirds,7
SESA,Shorebirds,1
SNBU,Passerines,11
SSHA,Raptors,5
SUSC,Scoters,19455
SWSP,Passerines,1
Scaup sp.,Other ducks and geese,53
Scoter sp.,Scoters,41779
Shearwater sp.,Other,3
Shorebird sp.,Shorebirds,6
Tern sp.,Larids,22
WHIM,Shorebirds,5
WODU,Other ducks and geese,15
WRSA,Shorebirds,6
WWSC,Scoters,5843
YBCH,Passerines,1
YRWA,Passerines,66
