species,grouping
ABDU,Other ducks and geese
AGOL,Passerines
AGOS,Raptors
AGPL,Shorebirds
AMCR,Passerines
AMKE,Raptors
AMOY,Shorebirds
AMPI,Passerines
AMRE,Passerines
AMRO,Passerines
AMWI,Other ducks and geese
AMWO,Shorebirds
ATSP,Passerines
Accip. sp.,Raptors
Alcid sp.,Alcids
Anas sp.,Other ducks and geese
BAEA,Raptors
BAOR,Passerines
BARS,Passerines
BASA,Shorebirds
BBPL,Shorebirds
BCCH,Passerines
BEKI,Kingfishers
BLGU,Alcids
BLJA,Passerines
BLKI,Larids
BLPW,Passerines
BLSC,Scoters
BLSC/SUSC,Scoters
BLSK,Larids
BOGU,Larids
BOWA,Passerines
BRAN,Other ducks and geese
BRCR,Passerines
BUFF,Other ducks and geese
BWTE,Other ducks and geese
Blackbird sp.,Passerines
CACG,Other ducks and geese
CACG/CANG,Other ducks and geese
CANG,Other ducks and geese
CASW,Passerines
CATE,Larids
CEDW,Passerines
CHSP,Passerines
CHSW,Passerines
CMWA,Passerines
COEI,Common Eider
COGO,Other ducks and geese
COGR,Passerines
COHA,Raptors
COLO,Loons
COME,Other ducks and geese
COME/RBME,Other ducks and geese
COMU,Alcids
CORA,Passerines
COTE,Larids
COYE,Passerines
Calidris sp.,Shorebirds
Cormorant sp.,Cormorants
DCCO,Cormorants
DEJU,Passerines
DOVE,Alcids
DOWO,Woodpeckers
DUNL,Shorebirds
Duck sp.,Other ducks and geese
EABL,Passerines
EAPH,Passerines
EATO,Passerines
Falcon sp.,Raptors
Finch sp.,Passerines
GADW,Other ducks and geese
GBHE,Herons
GCKI,Passerines
GRCA,Passerines
GRCO,Cormorants
GREG,Herons
GRSC,Other ducks and geese
GRSH,Shearwaters
GRYE,Shorebirds
GWFG,Other ducks and geese
GWTE,Other ducks and geese
Grebe sp.,Grebes
Gull sp.,Larids
HADU,Other ducks and geese
HAWO,Woodpeckers
HETH,Passerines
HOGR,Grebes
HOLA,Passerines
HOME,Other ducks and geese
ICGU,Larids
ICGU/GLGU,Larids
Jaeger sp.,Jaegers
KILL,Shorebirds
LAGU,Larids
LBBG,Larids
LESA,Shorebirds
LESC,Other ducks and geese
LEYE,Shorebirds
LISP,Passerines
LTDU,Other ducks and geese
LTJA,Jaegers
Loon sp.,Loons
MALL,Other ducks and geese
MALL/ABDU,Other ducks and geese
MALLxABDU,Other ducks and geese
MASH,Shearwaters
MAWA,Passerines
MERL,Raptors
Merganser sp.,Other ducks and geese
NOCA,Passerines
NOFL,Woodpeckers
NOGA,Northern Gannet
NOHA,Raptors
NOPI,Other ducks and geese
New World Sparrow sp.,Passerines
New World Warbler sp.,Passerines
OSPR,Raptors
PAJA,Jaegers
PALO,Loons
PAWA,Passerines
PEFA,Raptors
PISI,Passerines
PIWO,Woodpeckers
POJA,Jaegers
PUFI,Passerines
PUSA,Shorebirds
Passerine sp.,Passerines
Peep sp.,Shorebirds
RAZO,Alcids
RBGU,Larids
RBME,Other ducks and geese
RBNU,Passerines
RCKI,Passerines
RECR,Passerines
REVI,Passerines
REVI/PHVI,Passerines
RNDU,Other ducks and geese
RNGR,Grebes
RNPH,Shorebirds
RTHU,Hummingbirds
RTLO,Loons
RUTU,Shorebirds
RWBL,Passerines
SAND,Shorebirds
SAVS,Passerines
SBDO,Shorebirds
SBDO/LBDO,Shorebirds
SEOW,Raptors
SEPL,Shorebirds
SESA,Shorebirds
SNBU,Passerines
SNGO,Other ducks and geese
SOSP,Passerines
SPSA,Shorebirds
SSHA,Raptors
SUSC,Scoters
SWSP,Passerines
Scaup sp.,Other ducks and geese
Scoter sp.,Scoters
Shearwater sp.,Shearwaters
Shorebird sp.,Shorebirds
Sterna sp.,Larids
TBMU,Alcids
TBMU/COMU,Alcids
TUTI,Passerines
TUVU,Raptors
Tern sp.,Larids
UNID. Raptor,Raptors
WBNU,Passerines
WHIM,Shorebirds
WISN,Shorebirds
WISP,Storm-Petrels
WIWR,Passerines
WODU,Other ducks and geese
WRSA,Shorebirds
WTSP,Passerines
WWCR,Passerines
WWSC,Scoters
Waterbird sp.,Waterbird sp.
Waterfowl sp.,Other ducks and geese
Woodpecker sp.,Woodpeckers
YBCH,Passerines
YEWA,Passerines
YRWA,Passerines
