species,grouping,grouping3
ABDU,Other waterfowl,NA
AGOL,Passerines,NA
AGOS,Raptors,NA
AGPL,Shorebirds,NA
AMCR,Passerines,NA
AMKE,Raptors,NA
AMOY,Shorebirds,NA
AMPI,Passerines,NA
AMRE,Passerines,NA
AMRO,Passerines,NA
AMWI,Other waterfowl,NA
AMWO,Shorebirds,NA
ATSP,Passerines,NA
Accip. sp.,Raptors,NA
Alcid sp.,Alcids,Seabirds
Anas sp.,Other waterfowl,NA
BAEA,Raptors,NA
BAOR,Passerines,NA
BARS,Passerines,NA
BASA,Shorebirds,NA
BBPL,Shorebirds,NA
BCCH,Passerines,NA
BEKI,Kingfishers,NA
BLGU,Alcids,Seabirds
BLJA,Passerines,NA
BLKI,Larids,NA
BLPW,Passerines,NA
BLSC,Sea ducks,Seabirds
BLSC/SUSC,Sea ducks,Seabirds
BLSK,Larids,NA
BOGU,Larids,NA
BOWA,Passerines,NA
BRAN,Other waterfowl,NA
BRCR,Passerines,NA
BUFF,Other waterfowl,NA
BWTE,Other waterfowl,NA
Blackbird sp.,Passerines,NA
CACG,Other waterfowl,NA
CACG/CANG,Other waterfowl,NA
CANG,Other waterfowl,NA
CASW,Passerines,NA
CATE,Larids,NA
CEDW,Passerines,NA
CHSP,Passerines,NA
CHSW,Passerines,NA
CMWA,Passerines,NA
COEI,Sea ducks,Seabirds
COGO,Other waterfowl,NA
COGR,Passerines,NA
COHA,Raptors,NA
COLO,Loons,Seabirds
COME,Other waterfowl,NA
COME/RBME,Other waterfowl,NA
COMU,Alcids,Seabirds
CORA,Passerines,NA
COTE,Larids,NA
COYE,Passerines,NA
Calidris sp.,Shorebirds,NA
Cormorant sp.,Cormorants,Seabirds
DCCO,Cormorants,Seabirds
DEJU,Passerines,NA
DOVE,Alcids,Seabirds
DOWO,Woodpeckers,NA
DUNL,Shorebirds,NA
Duck sp.,Other waterfowl,NA
EABL,Passerines,NA
EAPH,Passerines,NA
EATO,Passerines,NA
Falcon sp.,Raptors,NA
Finch sp.,Passerines,NA
GADW,Other waterfowl,NA
GBHE,Herons,NA
GCKI,Passerines,NA
GRCA,Passerines,NA
GRCO,Cormorants,Seabirds
GREG,Herons,NA
GRSC,Other waterfowl,NA
GRSH,Shearwaters,Seabirds
GRYE,Shorebirds,NA
GWFG,Other waterfowl,NA
GWTE,Other waterfowl,NA
Grebe sp.,Grebes,Seabirds
Gull sp.,Larids,NA
HADU,Other waterfowl,NA
HAWO,Woodpeckers,NA
HETH,Passerines,NA
HOGR,Grebes,Seabirds
HOLA,Passerines,NA
HOME,Other waterfowl,NA
ICGU,Larids,NA
ICGU/GLGU,Larids,NA
Jaeger sp.,Jaegers,NA
KILL,Shorebirds,NA
LAGU,Larids,NA
LBBG,Larids,NA
LESA,Shorebirds,NA
LESC,Other waterfowl,NA
LEYE,Shorebirds,NA
LISP,Passerines,NA
LTDU,Sea ducks,Seabirds
LTJA,Jaegers,Seabirds
Loon sp.,Loons,Seabirds
MALL,Other waterfowl,NA
MALL/ABDU,Other waterfowl,NA
MALLxABDU,Other waterfowl,NA
MASH,Shearwaters,Seabirds
MAWA,Passerines,NA
MERL,Raptors,NA
Merganser sp.,Other waterfowl,NA
NOCA,Passerines,NA
NOFL,Woodpeckers,NA
NOGA,Northern Gannet,Seabirds
NOHA,Raptors,NA
NOPI,Other waterfowl,NA
New World Sparrow sp.,Passerines,NA
New World Warbler sp.,Passerines,NA
OSPR,Raptors,NA
PAJA,Jaegers,Seabirds
PALO,Loons,Seabirds
PAWA,Passerines,NA
PEFA,Raptors,NA
PISI,Passerines,NA
PIWO,Woodpeckers,NA
POJA,Jaegers,Seabirds
PUFI,Passerines,NA
PUSA,Shorebirds,NA
Passerine sp.,Passerines,NA
Peep sp.,Shorebirds,NA
RAZO,Alcids,Seabirds
RBGU,Larids,NA
RBME,Sea ducks,Seabirds
RBNU,Passerines,NA
RCKI,Passerines,NA
RECR,Passerines,NA
REVI,Passerines,NA
REVI/PHVI,Passerines,NA
RNDU,Other waterfowl,NA
RNGR,Grebes,Seabirds
RNPH,Shorebirds,NA
RTHU,Hummingbirds,NA
RTLO,Loons,Seabirds
RUTU,Shorebirds,NA
RWBL,Passerines,NA
SAND,Shorebirds,NA
SAVS,Passerines,NA
SBDO,Shorebirds,NA
SBDO/LBDO,Shorebirds,NA
SEOW,Raptors,NA
SEPL,Shorebirds,NA
SESA,Shorebirds,NA
SNBU,Passerines,NA
SNGO,Other waterfowl,NA
SOSP,Passerines,NA
SPSA,Shorebirds,NA
SSHA,Raptors,NA
SUSC,Sea ducks,Seabirds
SWSP,Passerines,NA
Scaup sp.,Other waterfowl,NA
Scoter sp.,Sea ducks,Seabirds
Shearwater sp.,Shearwaters,Seabirds
Shorebird sp.,Shorebirds,NA
Sterna sp.,Larids,NA
TBMU,Alcids,Seabirds
TBMU/COMU,Alcids,Seabirds
TUTI,Passerines,NA
TUVU,Raptors,NA
Tern sp.,Larids,NA
UNID. Raptor,Raptors,NA
WBNU,Passerines,NA
WHIM,Shorebirds,NA
WISN,Shorebirds,NA
WISP,Storm-Petrels,Seabirds
WIWR,Passerines,NA
WODU,Other waterfowl,NA
WRSA,Shorebirds,NA
WTSP,Passerines,NA
WWCR,Passerines,NA
WWSC,Sea ducks,Seabirds
Waterbird sp.,Waterbird sp.,NA
Waterfowl sp.,Other waterfowl,NA
Woodpecker sp.,Woodpeckers,NA
YBCH,Passerines,NA
YEWA,Passerines,NA
YRWA,Passerines,NA
