"species","total.ind"
"ABDU",379
"AMCR",19
"AMGO",200
"AMPI",3
"AMWI",11
"ATSP",2
"BAEA",48
"BAOR",1
"BBPL",5
"BLGU",679
"BLKI",160
"BLSC",16206
"BLSK",5
"BOGU",86
"BOWA",3
"BRAN",3
"BUFF",6
"Bird sp.",12599
"CANG",1460
"CATE",101
"COEI",72770
"COGO",16
"COGR",43
"COLO",9155
"COMU",10
"CORA",19
"COTE",46
"Calidris sp.",20
"Cormorant sp.",6480
"DCCO",144417
"Duck sp.",8823
"Falcon sp.",7
"GBHE",71
"GRCA",1
"GRCO",1075
"GREG",1
"GRSC",12
"GRSH",1
"GWFG",9
"GWTE",110
"Grebe sp.",2
"HADU",50
"HAWO",1
"HOGR",8
"HOME",2
"ICGU/GLGU",10250
"Jaeger sp.",30
"LAGU",585
"LESC",7
"LTDU",4546
"Large alcid sp.",155
"Loon sp.",1053
"MAKE",0
"MALL",66
"MALL/ABDU",27
"MERL",46
"Merganser sp.",2
"NOGA",37168
"NOHA",9
"NOPI",36
"OSPR",5
"PAJA",16
"PAWA",2
"PEFA",52
"PISI",229
"POJA",11
"PUSA",31
"Peep sp.",41
"RAZO",127
"RBGU",1183
"RBME",3517
"RNGR",400
"RNPH",9
"RTHU",3
"RTLO",2103
"RUTU",2
"SAND",31
"SEPL",7
"SESA",1
"SNBU",11
"SSHA",5
"SUSC",19455
"SUSC/BLSC",783
"SWSP",1
"Scaup sp.",53
"Scoter Sp.",17
"Scoter sp.",40979
"Shearwater sp.",3
"Shorebird sp.",6
"Tern sp.",22
"UNID",126
"WHIM",5
"WODU",15
"WRSA",6
"WWSC",5843
"YBCH",1
"YRWA",66
